과목명,강의 내용,원래 가격
게임 캐릭터를 위한 3ds Max 리깅의 기초,"게임 캐릭터를 위한 3ds Max 리깅의 기본 개념, 컨트롤러, 응용을 다룹니다. 3ds Max 2021 버전을 기준으로 설명합니다. (맥스 스크립트는 다루지 않습니다.)",무료
[나만의 게임 텍스처 제작] 서브스탠스 디자이너의 모든 것,텍스처 사이트에서 너도나도 똑같은 텍스처 사용은 그만! 나만의 텍스처를 제작하여 포트폴리오와 게임 그래픽의 퀄리티를 향상시킬 수 있는 섭스턴스 디자이너의 기초부터 심화까지 공부합니다.,무료
나만의 캐릭터를 만들 수 있는 지브러시 (Zbrush) 기초,지브러시를 처음 접하는 입문자도 알기 쉽게 지브러시의 핵심 기능의 사용법을 학습하고 다양한 형태의 오브젝트와 캐릭터를 제작 하면서  digital sculpting  작업 프로세스를 익히는 과정입니다.,무료
블렌더 3D 미피 캐릭터 인사하는 애니메이션 만들기,귀여운 미피 캐릭터를 만들고 간단한 리깅과 애니메이션까지 함께 배워서 인사하는 미피 영상을 만들어 봐요! :),무료
언리얼 엔진 5 스파르타 클래스 - 실전편,VR부터 PC게임까지 언리얼 엔진5로 여러 장르의 게임을 만들어보자!,무료
"[LV1] 왕초보 이펙트 (VFX) 기초부터 튼튼하게! (UE5, Blender)","UE5(Unreal Engine 5)로 진행하는 이펙트 강의. 그림을 못 그려도, 엔진을 다뤄본 적 없어도 가능합니다. 이제 현업에서는 필수인 '나이아가라'로 가장 중요하고 기본적인 이펙트를 만들어봅시다.",무료
블렌더 처음 시작부터 로우폴리 3D 애니메이션 까지,블렌더 완전 기초부터 로우폴리 3D 애니메이션 까지 만들 수 있는 강의,무료
일주일 완성! 3dsmax 입문 (자동차 및 캐릭터 만들기),3dsmax를 처음 접하시는 분들을 위한 막연한 두려움을 해소하고  반드시 알아야할 내용을 선별한 필수 입문강좌!,무료
3dsmax 모델링 고수의 비밀! (Modeling Expert Technique),리얼하고 사실적인 모델링을 위한 하이폴리곤모델링 기법을 자세한 원리와 설명을 통해 기술하였으며  모델링 필수 실무 스킬과 팁을 단시간에 습득하실 수 있습니다.  이 강좌를 통해 모델링의 자신감을 고취시킴과 동시에 모델링의 진정한 재미를 느끼시게 됩니다.,무료
3dsmax 초급부터 전문가까지 - 한방에 끝내는 3dsmax 강좌,"3DS MAX 의 모든것을 다루는 강좌.
입문자도 누구나 따라오기만 하면 전문가 수준으로 인도해주는 원샷 원킬 3DS max 강좌 입니다.
기본 개념부터 고급기술 노하우까지 재미있는 예제를 통해 하나하나 알려주는 친절하고도 방대한 강의
3DS MAX 는 이거 하나로 끝내보세요",무료
Blender를 이용한 3D 모델링 기초 강의,3D 프린팅 또는 인테리어 및 게임을 위한 아트 작업이 필요하신가요? 블렌더 기초 강의를 통해 사실적인 3D 그래픽 디자인 작업물을 만들어보세요.,무료
[게임 그래픽] 이것만 알면 시리즈!,실무에서 오랜 경험을 바탕으로 만든 게임 그래픽 강의입니다. 1시간 안에 필요한 부분만 빠르게 배워봐요!,무료
언리얼 이펙트 실무 Shield,"쉽게 접할 수 없는 언리얼 이펙트 강의, 2022 언리얼 공식 강사에게 직접 배워요. 실무에서 바로 쓸 수 있는 Shield 이펙트를 직접 만들어보며 더 나은 이펙터로 레벨업할 수 있어요!",무료
[왕기초] 후디니 게임 이펙트 만들기,"연기, 피, 폭발, 붕괴 효과를 후디니에서 제작해서 언리얼에 적용합니다.
게임에서 가장 많이 활용되는 소스 제작법을 배울 수 있어요.",무료
생각하고 창조하는 언리얼 이펙트 나이아가라 FX,언리얼엔진의 게임 이펙트를 시작하기 위해 나이아가라에 대한 기본기 강의입니다. 기본적인 요소들을 설명해 스스로 응용해 FX를 제작할 수 있도록 설명했습니다.,무료
MAYA 3D animation Season 1,"이 강의를 통해 수강생분들은 마야의 기초적인 기능뿐 아니라,  캐릭터 애니메이팅을 하는 방법에 대해 중점적으로 배움으로써 스스로 성장할 수 있는 역량을 갖추게 됩니다.",무료
쉽게 배우는 ZBrush 입문 강좌,"Z brush를 처음 접하는 분들의 눈높에 맞춘 강좌!
막연한 Z brush에 대한 두려움을 해소함과 동시에 꼭 알아야할 기능을
익힐 수 있는 입문자용 강좌입니다.",무료
[블렌더 튜토리얼] 인사이드 아웃 본부 만들기 - 아이소메트릭,"인사이드 아웃 컨셉의 아이소메트릭 강의입니다!
튜토리얼 형식으로 초보자 분들도 쉽게 따라할 수 있습니다. 
모델링부터 렌더링까지 차근차근 원리를 설명해 드려요!",무료
"[LV3 : 기술편] 게임스킬 만들기 - 기획, 아트 누구나 만드는 블루프린트","코딩을 공부하기엔 너무 무겁고, 블루프린트를 다 공부하기엔 너무 방대한 자료들.
게임캐릭터 스킬을 만들어보면서 핵심적인 기능을 먼저 배워봅시다. 
강의를 듣고나면 원하는 캐릭터 스킬 정도는 혼자서 구현 가능해진답니다.",무료
3DS MAX 입문강좌 (입문부터 자동차 예제까지),3DS MAX 에 입문자용 강좌 입니다. 간단한 맥스 소개와 맥스의 인터페이스부터 반드시 알아야 할 여러 개념들을 알기 쉽게 설명해주는 강좌 입니다. 기초적이고 중요하지만 놓치기 쉬운 부분들을 차근히 학습하실 수 있습니다! 이미 많은 분들이 검증하신 강좌입니다. 3ds 맥스 전혀 어렵지 않아요. 지금 시작해 보세요!,무료
[LV2] 이펙터로 취업하기 위한 포트폴리오 만들기,이 강의는 이펙트 디자이너 취업용 강의입니다. 오프라인 학원보다 더 빠른 시간 안에 적은 비용으로 취업할 수 있도록 도와드리겠습니다.,무료
3D 게임 디자이너에게 배우는 Zbrush 2020 기초와 활용,"Zbrush 2020의 주요기능을 익히고, 예제를 실습해 봄으로써 실전 활용도를 높일 수 있다.",무료
리터칭으로 쉽게 가능한 MapleStory Worlds 아바타 아이템 제작!,MapleStory Worlds로 나만의 아바타 코디 아이템을 배워보고 싶은 초급자를 대상으로 합니다. 포토샵 기본 사용법만 안다면 완전 초보라도 부담없이 입문이 가능합니다.,무료
[MapleStory Worlds] 내 손안의 코디룸 만들기!,MapleStory Worlds에서 게임 캐릭터 코디아이템을 직접 디자인하고 자신만의 코디룸 월드도 출시해봐요!,무료
com2us 테크니컬 아티스트의 NPR 스타일 캐릭터 텍스쳐링을 위한 커스텀 셰이더 제작 및 활용 A to Z,Substance 3D Painter로 완성하는 만화 같은 캐릭터 텍스쳐링!,무료
ncsoft 캐릭터 아티스트의 실무에 바로 쓰는 다양한 Substance 3D Painter 활용법,실무에 바로 적용하는 Substance 3D Painter 활용 노하우,무료
블렌더(Blender)를 활용한 3D 캐릭터 애니메이션 만들기,"3D 모델링 오픈소프트웨어로 유명한 블렌더(Blender)와 3D캐릭터를 이용하여 쉽고, 빠르게 애니메이션을 만드는 방법을 알려드리고자 합니다. 이외에도 다양하고 멋진 기능을 가진 블렌더의 세계를 경험해 보시길 바랍니다. ★ 수강생께서는 공지사항과 새소식을 반드시 읽어주시기 바랍니다 ★

※  What is the BEST 3D Software? 
: https://youtu.be/8BT4YSOjTas (유튜브영상 참조)",무료
언리얼4 이펙터 추천! 블루프린트 이펙트 입문,"언리얼4의 블루프린트로 이펙트를 만드는 방법입니다. 
이펙터 시선에서 블루프린트를 쉽게 이해하도록 작성되었습니다
입문을 배경 이펙트 블루프린트로 시작해봅시다.",무료
Zbrush 4R6 입문에서 마스터 까지 Zbrush 4R6 의 모든것,Zbrush 4R6를 처음 접해보는 유저를 위한 Zbrush 마스터 강좌!,무료
id software 3D 아티스트에게 배우는 Maya 3D 모델링 입문,"Maya를 사용하여 기본적인 조작법과 기초 모델링, 쉐이더, 맵핑, 베이킹, 렌더링 등 입문자를 위한 강좌입니다.",무료
"Zbrush 이용한 공룡, 공룡책 제작과정 으로 배우는 3D 모델링 배우기",처음 Zbrush를 다루시는 유저분들분들과 3d를 활용하여 창업을 하고싶어하시는 분들을 위한 강좌입니다.,무료
마모셋 툴백 (marmoset toolbag) 렌더 무료강좌,마모셋  툴백이란 툴을 이용하여 실시간 렌더링을 하는 방법을 알아봅니다.,무료
KRAFTON 헬레나 신의 Substance 3D 활용 A to Z,업계 TOP으로 가는 Substance 3D Painter 활용 A to Z,무료
