과목명,강의 내용,할인 기간,할인율,현재 가격,원래 가격
게임 개발을 위해 알아야 할 Azure CDN,Azure CDN을 이용하여 컨텐츠를 배포하는 방법에 대한 강의입니다.,없음,없음,없음,없음
[입문자를 위한 UE5] Part4. 언리얼 엔진 C++,"C++ 기반의 언리얼 엔진 작업 방식을 공부하고,
얕고 빠르게 전체 한 바퀴를 도는 강의입니다.",없음,없음,"₩220,000",없음
[유니티 레벨 업!] 모듈식으로 개발하는 스킬 시스템,"다양한 게임에 적용할 수 있는 [스킬 시스템]과 개발 생산성을 높여주는 [툴 제작], 구조적인 프로그래밍 방식인  [모듈식 프로그래밍]을 배우는 강의입니다.",없음,없음,"₩198,000",없음
알아두면 쓸모 있는 로블록스 기능,"Useful Roblox features you need to know
로블록스 크리에이터 준비하는 분들이 알면 쓸모 있는 기능별 구분해서 정리한 강의!
업데이트 되는 기능에 맞춰 강의는 계속 업데이트 됩니다.",7일만,20%,"₩132,000","₩165,000"
초보자를 위한 고도엔진 게임 개발 입문,코딩 경험없는 완전 초보자를 위한 고도엔진 게임개발 강의입니다. 게임 개발을 처음 시작하는 분들이라면 이 강의로 시작하세요!,없음,없음,"₩38,500",없음
[Rookiss University] UE5 Lyra 클론 코딩 (Haker),UE5에서 제공하는 Lyra 프로젝트의 핵심 부분을 따라 만들며 차근차근 그 구조를 학습하는 강의입니다.,없음,없음,"₩660,000",없음
이득우의 언리얼 프로그래밍 Part3 - 네트웍 멀티플레이 프레임웍의 이해,"또 하나의 언리얼 엔진이라고도 불리는 네트웍 멀티플레이어 프레임웍을 학습합니다. 네트웍 멀티플레이어 게임을 제작할 때 반드시 알아야 하는 주요 개념, 내부 동작 원리, 최적화 기법을 학습한 후 핵&슬래시 유형의 PvP 대전 게임을 제작합니다.",없음,없음,"₩275,000",없음
[Unity6] 유니티6로 배우는 실전 멀티플레이 디펜스,유니티6를 활용해 디펜스 장르의 멀티플레이 게임을 개발하는 과정을 다룹니다. 게임 로직부터 출시까지 단계별로 배우는 실전 강의입니다.,9일만,30%,"₩207,900","₩297,000"
[켠김에 출시까지] 유니티 캐주얼 모바일 MMORPG (M2),"<캐주얼 모바일 MMORPG> M2 개발을 처음부터 끝까지 따라가며
온라인 게임에 대한 모든 기술들을 학습하는 강의입니다.",없음,없음,"₩1,100,000",없음
[C++과 언리얼로 만드는 MMORPG 게임 개발 시리즈] Part4: 게임 서버,"네트워크/멀티쓰레드/운영체제 등 핵심 전공 지식을 공부하고
게임 서버를 바닥부터 만들어보면서 MMORPG 기술을 학습하는 강의입니다.
신입 서버 프로그래머가 알아야 전반적인 지식을 모두 훑어보기에
어느 프로젝트에 합류하더라도 당황하지 않고 적응할 수 있는 기본기를 쌓게 됩니다.",없음,없음,"₩330,000",없음
[C++과 언리얼로 만드는 MMORPG 게임 개발 시리즈] Part1: C++ 프로그래밍 입문,"시리즈를 원활하게 학습하기 위한 기초적인 C++ 문법들에 대해 학습합니다.
어셈블리 언어부터 시작해서 기본 C++ 문법, STL, C++11까지 핵심적인 내용을 압축해서 다루게 됩니다.",없음,없음,"₩110,000",없음
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part3: 유니티 엔진,"유니티 엔진 사용법 및 제공하는 기능들에 대해 알아보고,
그것을 효율적으로 관리하는 방법을 배우는 강의입니다.",오늘까지,30%,"₩61,600","₩88,000"
이득우의 언리얼 프로그래밍 Part4 - 게임플레이 어빌리티 시스템,언리얼 엔진5의 게임플레이 어빌리티 시스템을 활용해 RPG게임의 각종 스킬 시스템을 효과적으로 구현하는 방법을 학습합니다.,없음,없음,"₩165,000",없음
이득우의 언리얼 프로그래밍 Part2 - 언리얼 게임 프레임웍의 이해,"대기업 현업자들이 수강하는 언리얼 C++ 프로그래밍 전문 과정입니다. 
언리얼 C++ 프로그래밍을 사용해 핵&슬래시 로그라이크 게임 예제를 처음부터 끝까지 체계적으로 제작하는 방법을 알려드립니다.",없음,없음,"₩198,000",없음
이득우의 언리얼 프로그래밍 Part1 - 언리얼 C++의 이해,"대기업 현업자들이 수강하는 언리얼 C++ 프로그래밍 전문 과정입니다. 
언리얼 엔진 프로그래머라면 게임 개발전에 반드시 알아야 하는 언리얼 C++ 기초에 대해 알려드립니다.",없음,없음,"₩132,000",없음
고도 엔진(Godot Engine)을 통한 게임 개발 박치기!! - 기본 개념부터 실전 게임 제작까지 한방에!,"최근 떠오르고 있는 고도 엔진에 대해 기초 개념부터 차근차근 알아가며, 고도 엔진의 가벼우면서도 강력한 생산성을 직접 느껴보고 나만의 게임 창작에 몰입해보세요!",6일만,30%,"₩69,300","₩99,000"
[Rookiss University] Haker님의 UE5 소스코드 분석 시리즈 #1  (게임 프레임워크),"현업 최고 수준의 언리얼 엔진 전문가가 진행하는 
UE5 소스코드 분석 강의입니다.",없음,없음,"₩330,000",없음
[C++과 언리얼로 만드는 MMORPG 게임 개발 시리즈] Part5: UE5 & IOCP 서버 연동,"IOCP 게임 서버와 언리얼 엔진을 연동하는
프레임워크를 만드는 강의입니다.
(Dedicated-Server 강의가 아닙니다!)",없음,없음,"₩110,000",없음
[쥬신게임아카데미 버거쌤] 완전 초보자를 위한 게임 C++,"""게임 개발자가 되고 싶다!"" 게임 개발자를 목표로 하시는 모든 초보자 분들을 위하여 쥬신 게임 아카데미가 순수 초보자를 위한 C++강의를 준비하였습니다!
깊숙히 파고 들어가기 보다는 완전 초심자들이 쉽게 이해할 수 있도록 문법 위주로 쉽게 설명한 강의입니다. 

심도 있는 공부를 하고자 하시는 학생들은 추후 오픈 될 C++심화 강의를 기다려주세요!",없음,없음,"₩77,000",없음
[입문자를 위한 UE5] Part3. 언리얼 엔진 3D 게임 개발 입문,"블루프린트를 이용해 간단한 TPS 게임을 제작하며
언리얼 엔진에서 제공하는 각종 기능들을 자연스럽게 학습하는 강의입니다.",없음,없음,"₩55,000",없음
1. 유니티가 어려운 입문자를 위한 강의,"유니티 입문 강의입니다.

배우고자 하는 열정만 있으면 됩니다.",없음,없음,없음,없음
"게임 개발자를 위한 3D 그래픽스, 쉐이더, OpenGL (1) - 3D 그래픽스, OpenGL, 콜백 함수, 컬러 이론","✅ 3D 그래픽스 프로그래밍: 기초부터 고급 응용까지
✅ GLSL Shading Language: 이론에서 실습까지 
✅ 9개의 시리즈 강의: (1) ~ (9)로 구성",없음,없음,"₩29,700",없음
따라하면서 배우는 고박사의 유니티 하이퍼캐주얼게임 시리즈 02,"유니티에 대한 기반지식을 다진 이후 ""이제 무엇을 해야할까?"" 라고 고민하는 초급자 대상의 강의입니다.
게임의 규모가 크지 않은 하이퍼 캐주얼 게임(Hyper Casual Game) 제작으로 짧지만 강렬하게 해당 게임의 핵심 코드를 학습할 수 있습니다. (강의에 사용되는 모든 리소스, PDF 자료를 제공하고 있습니다.)",없음,없음,"₩33,000",없음
[유니티 레벨 업!] 모듈식으로 개발하는 퀘스트&업적 시스템,다양한 게임에 적용할 수 있는 [퀘스트 시스템]과 개발의 생산성을 높이기 위한 [모듈식 프로그래밍]을 배우는 강의입니다.,없음,없음,"₩36,300",없음
새싹부터 시작하는 Unity 게임 개발,"해당 강의를 통해서 수강생분들은 컴퓨터 이론의 기초와,
유니티 게임 개발의 필수 과정들을 배울 수 있습니다.",없음,없음,"₩29,700",없음
D3D12 프로그래밍 - 기초편,"이제는 주류 그래픽 API의 자리가 D3D11에서 D3D12로 넘어간 것 같습니다. 
D3D12는 매력적인 기능들을 지원하지만 학습 난이도가 높은 편입니다. 
하지만 차근차근 학습한다면 개인도 D3D12 API로 게임을 만들 수 있다고 생각합니다. 이에, D3D 12로 게임을 직접 만들어 본 경험을 바탕으로, D3D12 게임 프로그래밍에 도전할 수 있는 지식 기반을 전달하고자 합니다.",없음,없음,"₩198,000",없음
Directx11을 이용한 게임 엔진 만들기,C++을 이용해 만든 게임엔진에 Directx11 라이브러리를 이용하여  게임엔진을 리팩토링 하는 과정입니다. 내부적 코드를 유추하는 방식으로 제작되었으며 이를 통해 유니티엔진의 내부 원리에 대해서 생각해 볼 수 있습니다.,없음,없음,없음,없음
C++로 만들면서 배우는 게임 개발과 알고리즘 with Windows API,Windows API와 C++를 이용해서 밑바닥부터 2D 게임 개발의 알고리즘과 원리를 중심으로 공부하는 게임 개발&알고리즘 강의입니다.,없음,없음,"₩66,000",없음
Godot Engine 으로 시작하는 첫 게임 개발,"고도 엔진 (Godot Engine) 의 기본적인 사용법과 기능을 소개하고, 간단한 2D 게임을 만들어 보는 강의입니다.
고도 엔진의 기본적인 논리 구조인 씬(Scene), 노드(Node) 와 스크립팅 기초를 익힐 수 있습니다.",없음,없음,없음,없음
[입문자를 위한 UE5] Part5. 언리얼 엔진 VR,"언리얼 엔진 기반의 여러 가지 VR 기술을 학습하는 강의입니다. 
어디에도 공개되지 않은 언리얼 기반의 VR 기술들을 터득할 수 있습니다.",없음,없음,"₩110,000",없음
[입문자를 위한 UE5] Part2. 언리얼 엔진 2D 게임 개발 입문,"언리얼 엔진을 이용해 간단한 2D 게임을 만들어 보는 강의입니다. 블루프린트를 실전에 사용할 수 있는 능력을 배양하고
자연스럽게 언리얼 엔진 기초 사용법을 터득할 수 있습니다.",없음,없음,"₩55,000",없음
[입문자를 위한 UE5] Part1. 언리얼 엔진 블루프린트,아무것도 모르는 입문자를 위한 강의 입니다. 언리얼 엔진의 비주얼 스크립팅 시스템인 블루프린트를 프로그래머 관점에서 공부하며 익숙해지는 강의입니다.,없음,없음,"₩55,000",없음
[실전 게임 코드 리뷰] 유니티 클리커 게임,"실제로 출시된 2D 클리커 샘플 게임 ""개미 주식회사""를 분석하면서 유니티 엔진 응용 방법에 익숙해지는 강의입니다.",없음,없음,"₩44,000",없음
유니티 시스템 프로그래밍 Pt.1 - 상용 게임 구현을 위한 핵심 시스템 올인원 패키지,상용 게임에 필요한 주요 시스템을 학습합니다. AAA 게임 개발자의 비법을 공개합니다. 이미 완성된 안정적인 설계와 시스템 위에 여러분의 게임 플레이를 빠르게 구현하세요.,내일까지,25%,"₩165,000","₩220,000"
"게임 개발자를 위한 3D 그래픽스, 쉐이더, OpenGL (0B) - 공개 샘플 강의2","✅ 3D 그래픽스 프로그래밍: 기초부터 고급 응용까지
✅ GLSL Shading Language: 이론에서 실습까지 
✅ 9개의 시리즈 강의: (1) ~ (9)로 구성",없음,없음,없음,없음
"게임 개발자를 위한 3D 그래픽스, 쉐이더, OpenGL (6) - 쉐이딩 기초, 퐁 리플렉션 모델, 블린-퐁 쉐이딩","✅ 3D 그래픽스 프로그래밍: 기초부터 고급 응용까지
✅ GLSL Shading Language: 이론에서 실습까지 
✅ 9개의 시리즈 강의: (1) ~ (9)로 구성",없음,없음,"₩29,700",없음
"게임 개발자를 위한 3D 그래픽스, 쉐이더, OpenGL (3) - 애니메이션, depth 개념, Z 버퍼","✅ 3D 그래픽스 프로그래밍: 기초부터 고급 응용까지
✅ GLSL Shading Language: 이론에서 실습까지 
✅ 9개의 시리즈 강의: (1) ~ (9)로 구성",없음,없음,"₩29,700",없음
"게임 개발자를 위한 3D 그래픽스, 쉐이더, OpenGL (3) - 애니메이션, depth 개념, Z 버퍼","✅ 3D 그래픽스 프로그래밍: 기초부터 고급 응용까지
✅ GLSL Shading Language: 이론에서 실습까지 
✅ 9개의 시리즈 강의: (1) ~ (9)로 구성",없음,없음,"₩29,700",없음
[Unity] 함께 만들어가는 방치형 게임 개발,해당 강의는 방치형 게임을 만들어가면서 수익 창출을 목적으로 한 모바일 게임 개발을 진행하는데 중점을 두고 있습니다.,없음,없음,"₩297,000",없음
[유니티 게임 개발] 핵심 기술과 디자인 패턴,"이 강의를 통해 유니티에서 사용하는 핵심 기술들과, 디자인 패턴 사용법에 대해서 배울 수 있습니다.",없음,없음,"₩29,700",없음
Godot Engine 마리오라이크 2D PC 게임 만들기,"고도 엔진 (Godot Engine) 으로 PC 플랫폼에서 동작하는 2D 어드벤처 게임을 직접 만들어 보는 강의입니다.
타일 매핑, 횡스크롤 캐릭터 조작, 게임플레이 스크립팅, 애니메이팅, 진행상황 저장, 씬 전환, 게임 빌드 및 배포에 대해 학습하실 수 있습니다.",없음,없음,"₩35,200",없음
[켠김에 출시까지] 유니티 방치형 키우기 게임 (M1 + T2),"출시 목표로 제작하는 유니티 방치형 키우기 게임을
매 주마다 분석하면서 학습하는 강의입니다.",없음,없음,"₩660,000",없음
[라이브 멘토링] 유니티 뱀파이어 서바이벌 장르 모작,이 강의는 [뱀파이어 서바이벌 장르 모작] 라이브 멘토링 녹화본입니다. 뱀파이어 서바이벌 장르의 게임을 처음부터 만들어보면서 어떤 지식과 설계가 필요한지 순차적으로 밟아나갑니다.,없음,없음,"₩110,000",없음
[실전 게임 코드 리뷰] 유니티 캐주얼 게임 (엘리스팡),2D 캐주얼 샘플 게임 <엘리스 팡>을 분석하면서 유니티 엔진 응용 방법에 익숙해지는 강의입니다.,없음,없음,"₩110,000",없음
[C++과 언리얼로 만드는 MMORPG 게임 개발 시리즈] Part3: 자료구조와 알고리즘,"RPG 게임에 필수적인 [길찾기]를 연구하면서 
자연스럽게 자료구조와 알고리즘을 학습하는 강의입니다.
기술 면접에서 흔히 출제되는 내용들만 추려서 쭉 훑어보기 때문에
단기간에 코딩 면접에 대비를 할 수 있습니다.",없음,없음,"₩77,000",없음
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part9: MMO 컨텐츠 구현 (DB연동 + 대형 구조 + 라이브 준비),"Part 8에서 배운 EF Core를 이용하여
Part 7에서 시작한 컨텐츠 구현을 이어서 만드는 강의입니다.",오늘까지,30%,"₩61,600","₩88,000"
언리얼 네트워크,"언리얼 엔진에서 제공하는 네트워크 프레임워크의 구성을 이해합니다.
서버, 클라이언트, 리플리케이션, RPC가 무엇이며 어떻게 작동하는지 이해합니다.
언리얼 프레임워크를 이용하여 네트워크 게임을 제작할 수 있습니다.",없음,없음,"₩60,500",없음
"게임 개발자를 위한 3D 그래픽스, 쉐이더, OpenGL (9) - 스텐실, 커브&서피스, glTF","✅ 3D 그래픽스 프로그래밍: 기초부터 고급 응용까지
✅ GLSL Shading Language: 이론에서 실습까지 
✅ 9개의 시리즈 강의: (1) ~ (9)로 구성 : 완결 !",없음,없음,"₩29,700",없음
삼각형의 실전! Vulkan 중급,이 강의를 통해 수강생은 Vulkan의 핵심 개념을 이해할 수 있습니다. 이를 바탕으로 GPU를 효과적으로 사용하는 코드를 작성할 수 있습니다.,없음,없음,"₩198,000",없음
"게임 개발자를 위한 3D 그래픽스, 쉐이더, OpenGL (7) - 텍스처 매핑, 큐브 맵, 환경 매핑, 범프 매핑","✅ 3D 그래픽스 프로그래밍: 기초부터 고급 응용까지
✅ GLSL Shading Language: 이론에서 실습까지 
✅ 9개의 시리즈 강의: (1) ~ (9)로 구성",없음,없음,"₩29,700",없음
"게임 개발자를 위한 3D 그래픽스, 쉐이더, OpenGL (4) - 좌표 변환, 회전, 가상 트랙볼","✅ 3D 그래픽스 프로그래밍: 기초부터 고급 응용까지
✅ GLSL Shading Language: 이론에서 실습까지 
✅ 9개의 시리즈 강의: (1) ~ (9)로 구성",없음,없음,"₩29,700",없음
"게임 개발자를 위한 3D 그래픽스, 쉐이더, OpenGL (2) - 프로그래머블 파이프라인, 기하학 기초, 삼각형 출력","✅ 3D 그래픽스 프로그래밍: 기초부터 고급 응용까지
✅ GLSL Shading Language: 이론에서 실습까지 
✅ 9개의 시리즈 강의: (1) ~ (9)로 구성",없음,없음,"₩29,700",없음
"게임 개발자를 위한 3D 그래픽스, 쉐이더, OpenGL (0A) - 공개 샘플 강의","✅ 3D 그래픽스 프로그래밍: 기초부터 고급 응용까지
✅ GLSL Shading Language: 이론에서 실습까지 
✅ 9개의 시리즈 강의: (1) ~ (9)로 구성",없음,없음,없음,없음
두고두고 써먹는 유니티 비동기 프로그래밍,"두고두고 써먹는 유니티 비동기 프로그래밍은
유니티를 어느 정도 할 줄 아는 수강생을 대상으로, 유니티의 코루틴과 UniTask를 이용하여 비동기 프로그래밍 방식으로 손쉽게 개발하는 방법을 알려드리는 유니티 개발 초급 강의입니다.",없음,없음,"₩66,000",없음
PyGame 어드벤쳐 : 위니브 월드를 수복하라!,"Python으로 만들어보는 게임, PyGame! 위니브즈와 함께 즐거운 게임을 만들어 볼까요?",없음,없음,"₩33,000",없음
C# 초보 게임개발을 위한 문법 기초강의,"프로그램을 기초가 없으신 분들을 위한 기초문법 강의 입니다.
프로그램을 딱딱한 책의 내용보다는 왜 이런것이 만들어 졌는지 나름대로의 해석을 통해서 영상을 보시면서 따라하며 이해하는 방식의 입문자용 강의입니다.",없음,없음,"₩27,500",없음
이득우의 꼭 배워야하는 게임 알고리즘,게임 제작에 사용되는 길찾기와 공간 분할 알고리즘을 체계적으로 정리한 온라인 강의입니다.,없음,없음,"₩66,000",없음
유니티 머신러닝 에이전트 완전정복 (기초편),이 강의를 통해 수강생은 다양한 강화학습의 이론을 학습하고 이를 직접 구현해 볼 뿐만 아니라 유니티 머신러닝 에이전트를 이용하여 구현한 강화학습 알고리즘을 테스트해볼 강화학습 환경까지 직접 제작해볼 수 있습니다.,없음,없음,"₩66,000",없음
Unity 장르별 프로젝트 실전 게임 - 디펜스 게임,c#언어를 기반으로 유니티를 이용해서 제작 단계별로 디펜스 게임을 제작을 익힙니다,없음,없음,"₩55,000",없음
Unity 장르별 프로젝트 실전 게임 - 런 게임,Unity 장르별  실전  프로젝트 중 쿠키런 같은 런 게임의 기본 원리를 습득하여 Unity 게임을 제작할 수 있다.,없음,없음,"₩55,000",없음
유니티 2D 슈팅게임 Sci - Fi,유니티엔진 기초부터 슈팅 게임까지 같이 만들어보는 강좌입니다.,없음,없음,"₩55,000",없음
[게임 프로그래머 도약반] DirectX11 입문,게임 프로그래머 공부에 있어서 필수적인 DirectX 11 지식을 초보자들의 눈높이에 맞춰 설명하는 강의입니다.,없음,없음,"₩396,000",없음
[C++과 언리얼로 만드는 MMORPG 게임 개발 시리즈] Part2: 게임 수학과 DirectX12,"DirectX 12를 통해 그래픽스 기초를 학습하는 강의입니다.
3D 세상의 물체가 어떤 원리로 모니터 화면에 그려지는지 공부하게 됩니다.",없음,없음,"₩220,000",없음
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part7: MMO 컨텐츠 구현 (Unity + C# 서버 연동 기초),"Part 1~6에서 배운 핵심 내용들을 활용해
간단한 온라인 2D 로그라이크 게임을 만드는 강의입니다.",오늘까지,30%,"₩61,600","₩88,000"
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part6: 웹 서버,"게임 개발에 필요한 웹서버에 대한 전반적인 내용을 
최신 ASP.NET Core (Blazor, WebAPI)를 이용해 학습하는 강의입니다.",오늘까지,30%,"₩30,800","₩44,000"
"게임 개발자를 위한 3D 그래픽스, 쉐이더, OpenGL (8) - 글로벌 일루미네이션, 블렌딩, 앤티-에일리어싱, 렌더 투 텍스처","✅ 3D 그래픽스 프로그래밍: 기초부터 고급 응용까지
✅ GLSL Shading Language: 이론에서 실습까지 
✅ 9개의 시리즈 강의: (1) ~ (9)로 구성",없음,없음,"₩29,700",없음
"게임 개발자를 위한 3D 그래픽스, 쉐이더, OpenGL (5) - 3D 카메라 뷰잉, 프로젝션, MVP 변환","✅ 3D 그래픽스 프로그래밍: 기초부터 고급 응용까지
✅ GLSL Shading Language: 이론에서 실습까지 
✅ 9개의 시리즈 강의: (1) ~ (9)로 구성",없음,없음,"₩29,700",없음
Unity 개발자를 위한 C#프로그래밍,"Unity 엔진을 사용하는 언어는 C# 언어입니다. Unity에서 자주 사용하는 기능 위주로 강의 내용을 다루고 있으며 자료형 및 변환, 객체 지향과 일반화, 간단한 파일 입출력까지 다뤄요!",없음,없음,"₩55,000",없음
따라하면서 배우는 고박사의 2D 플랫포머 게임 제작,"유니티에 대한 기반 지식을 다진 이후 ""이제 무엇을 해야 할까?"" 고민하는 초보자 대상의 강의입니다. 2D 플랫포머 게임을 제작해 보며 짧지만 강렬하게 해당 게임의 핵심 코드를 학습할 수 있습니다.
(강의에 사용되는 모든 리소스, PDF 자료를 제공하고 있습니다.)",없음,없음,"₩49,500",없음
언리얼 엔진 5 스파르타 클래스 - 실전편,VR부터 PC게임까지 언리얼 엔진5로 여러 장르의 게임을 만들어보자!,없음,없음,없음,없음
[JS] Phaser 게임 제작 - 뱀파이어 서바이벌 클론,Phaser 3를 사용하여 한 때 유행했던 뱀파이어 서바이벌과 비슷한 게임을 만들어봅시다! 실제 뱀파이어 서바이벌도 phaser로 만들어졌답니다. 한 번 만들어보시면 원하시는 게임도 만드실 수 있을 거예요! :),없음,없음,"₩55,000",없음
