과목명,강의 내용,원래 가격,직무,일치율
삼각형의 실전! CMake 초급,CMake가 사용하기 어려우신가요? 이 강의를 듣고 나면 당신도 CMake 전문가입니다.,무료,게임개발자,51.302%
따라하면서 배우는 Power Apps,엑셀의 함수 정도만 알고 있으면 Power Apps를 활용하여 누구나 손쉽게 앱을 만들어서 현업에 사용할 수 있는 방법을 설명합니다. Power App의 개념을 이해하고 다양한 컨트롤과 꼭 필요한 함수를 따라하면서 익힐 수 있습니다.,무료,앱 개발자,96.948%
따라하면서 배우는 Power Apps,엑셀의 함수 정도만 알고 있으면 Power Apps를 활용하여 누구나 손쉽게 앱을 만들어서 현업에 사용할 수 있는 방법을 설명합니다. Power App의 개념을 이해하고 다양한 컨트롤과 꼭 필요한 함수를 따라하면서 익힐 수 있습니다.,무료,모바일 앱 개발,68.315%
따라하면서 배우는 Power Apps,엑셀의 함수 정도만 알고 있으면 Power Apps를 활용하여 누구나 손쉽게 앱을 만들어서 현업에 사용할 수 있는 방법을 설명합니다. Power App의 개념을 이해하고 다양한 컨트롤과 꼭 필요한 함수를 따라하면서 익힐 수 있습니다.,무료,사이버 침해 대응,59.200%
[코드팩토리] [입문] Dart 언어 4시간만에 완전정복,이 강의를 통해 Dart 언어를 배우면 Flutter를 시작할 수 있을 정도의 수준으로의 업그레이드가 가능합니다!,무료,스마트 팩토리,67.289%
[코드팩토리] [입문] Dart 언어 4시간만에 완전정복,이 강의를 통해 Dart 언어를 배우면 Flutter를 시작할 수 있을 정도의 수준으로의 업그레이드가 가능합니다!,무료,정보보안 전문가,62.979%
[코드팩토리] [입문] Dart 언어 4시간만에 완전정복,이 강의를 통해 Dart 언어를 배우면 Flutter를 시작할 수 있을 정도의 수준으로의 업그레이드가 가능합니다!,무료,인공지능,44.489%
[입문] Qt 6 프로그래밍 2편,이번 강의는 Qt 프로그래밍 1편에 이어서 2편 강의 입니다. Qt를 처음 접하시는 분들은 1편을 먼저 학습하시고 2편을 학습하는 것을 권장합니다.,무료,게임개발자,68.995%
[입문] Qt 6 프로그래밍 2편,이번 강의는 Qt 프로그래밍 1편에 이어서 2편 강의 입니다. Qt를 처음 접하시는 분들은 1편을 먼저 학습하시고 2편을 학습하는 것을 권장합니다.,무료,인공지능,55.578%
[입문] Qt 6 프로그래밍 2편,이번 강의는 Qt 프로그래밍 1편에 이어서 2편 강의 입니다. Qt를 처음 접하시는 분들은 1편을 먼저 학습하시고 2편을 학습하는 것을 권장합니다.,무료,게임 기획자,49.201%
Only Javascript만으로 배우는 하이브리드앱 패키징,본 강의는 웹 서비스 개발 기술인 Javascript를 사용하여 모바일 환경의 여러 가지 네이티브 앱 기능을 빠르게 만들 수 있는 방법에 대해 배우고 스토어 출시 과정까지 학습할 수 있는 강의입니다.,무료,모바일 앱 개발,99.210%
Only Javascript만으로 배우는 하이브리드앱 패키징,본 강의는 웹 서비스 개발 기술인 Javascript를 사용하여 모바일 환경의 여러 가지 네이티브 앱 기능을 빠르게 만들 수 있는 방법에 대해 배우고 스토어 출시 과정까지 학습할 수 있는 강의입니다.,무료,웹 개발자,97.515%
Only Javascript만으로 배우는 하이브리드앱 패키징,본 강의는 웹 서비스 개발 기술인 Javascript를 사용하여 모바일 환경의 여러 가지 네이티브 앱 기능을 빠르게 만들 수 있는 방법에 대해 배우고 스토어 출시 과정까지 학습할 수 있는 강의입니다.,무료,앱 개발자,97.437%
초보자를 위한 Dart Practice,"Flutter 개발을 하려면 Dart를 알아야 합니다. Dart의 꼭 필요한 내용만 콕콕 집어 연습하고, 익히는 과정입니다.",무료,게임개발자,91.345%
초보자를 위한 Dart Practice,"Flutter 개발을 하려면 Dart를 알아야 합니다. Dart의 꼭 필요한 내용만 콕콕 집어 연습하고, 익히는 과정입니다.",무료,웹 개발자,79.249%
초보자를 위한 Dart Practice,"Flutter 개발을 하려면 Dart를 알아야 합니다. Dart의 꼭 필요한 내용만 콕콕 집어 연습하고, 익히는 과정입니다.",무료,앱 개발자,73.777%
비전공자도 쉽게 시작하는 증강현실(AR)로 나만의 고양이 만들기,간단한 코딩으로 구현하는 AR 증강현실 앱 구현하기,무료,VR/AR 개발자,78.022%
비전공자도 쉽게 시작하는 증강현실(AR)로 나만의 고양이 만들기,간단한 코딩으로 구현하는 AR 증강현실 앱 구현하기,무료,앱 개발자,65.082%
비전공자도 쉽게 시작하는 증강현실(AR)로 나만의 고양이 만들기,간단한 코딩으로 구현하는 AR 증강현실 앱 구현하기,무료,게임개발자,46.038%
Kotlin 문법 총 정리 - 1시간,1시간 안에 학습할 수 있는 코틀린 문법 총 정리 강의입니다.,무료,게임개발자,20.421%
Kotlin 문법 총 정리 - 1시간,1시간 안에 학습할 수 있는 코틀린 문법 총 정리 강의입니다.,무료,데브옵스 엔지니어,15.041%
Kotlin 문법 총 정리 - 1시간,1시간 안에 학습할 수 있는 코틀린 문법 총 정리 강의입니다.,무료,게임 기획자,12.768%
앱 인벤터 창의융합프로젝트 (App Inventor),"코딩, 개발에 흥미있는 디지털 인재라면? 앱 인벤터를 통해 블록코딩에 입문해보자!",무료,앱 개발자,99.101%
앱 인벤터 창의융합프로젝트 (App Inventor),"코딩, 개발에 흥미있는 디지털 인재라면? 앱 인벤터를 통해 블록코딩에 입문해보자!",무료,웹 개발자,88.009%
앱 인벤터 창의융합프로젝트 (App Inventor),"코딩, 개발에 흥미있는 디지털 인재라면? 앱 인벤터를 통해 블록코딩에 입문해보자!",무료,모바일 앱 개발,87.550%
PWA 시작하기 - 웹 기술로 앱을 만들자,"Web 기술로 오프라인 환경에서 작동하는 App 을 만들 수 있습니다. 프로그레시브 웹 앱이 발전해온 시대적 배경과 주요 특징을 배우고, 주요 기술들로 실제 프로그레시브 웹 앱을 만들어보세요.","₩55,000",웹 개발자,88.388%
PWA 시작하기 - 웹 기술로 앱을 만들자,"Web 기술로 오프라인 환경에서 작동하는 App 을 만들 수 있습니다. 프로그레시브 웹 앱이 발전해온 시대적 배경과 주요 특징을 배우고, 주요 기술들로 실제 프로그레시브 웹 앱을 만들어보세요.","₩55,000",앱 개발자,76.099%
PWA 시작하기 - 웹 기술로 앱을 만들자,"Web 기술로 오프라인 환경에서 작동하는 App 을 만들 수 있습니다. 프로그레시브 웹 앱이 발전해온 시대적 배경과 주요 특징을 배우고, 주요 기술들로 실제 프로그레시브 웹 앱을 만들어보세요.","₩55,000",스마트 기술,35.896%
Swift 언어로 만드는 고스톱 게임,"iOS 맞고 게임 만들기 Swift
swift를 이용하여 재밌는 맞고 게임을 만들어요.",무료,게임개발자,87.291%
Swift 언어로 만드는 고스톱 게임,"iOS 맞고 게임 만들기 Swift
swift를 이용하여 재밌는 맞고 게임을 만들어요.",무료,보안 엔지니어,38.927%
Swift 언어로 만드는 고스톱 게임,"iOS 맞고 게임 만들기 Swift
swift를 이용하여 재밌는 맞고 게임을 만들어요.",무료,게임 기획자,34.370%
iOS AutoLayout을 활용한 실전 UI구성 전략 - 카카오톡 같은 고급 UI 만들기,실제 존재하는 iOS 앱의 UI를 다각도로 분석하여 전문가 수준의 화면구성을 할 수 있도록 만들어 드립니다.,무료,앱 개발자,82.224%
iOS AutoLayout을 활용한 실전 UI구성 전략 - 카카오톡 같은 고급 UI 만들기,실제 존재하는 iOS 앱의 UI를 다각도로 분석하여 전문가 수준의 화면구성을 할 수 있도록 만들어 드립니다.,무료,데이터 분석,71.152%
iOS AutoLayout을 활용한 실전 UI구성 전략 - 카카오톡 같은 고급 UI 만들기,실제 존재하는 iOS 앱의 UI를 다각도로 분석하여 전문가 수준의 화면구성을 할 수 있도록 만들어 드립니다.,무료,인공지능,64.643%
C# 자마린 + 몽고DB + nodejs 연동,"직접 DB와 node express를 백엔드로 설치하고 C#으로 윈도우 앱과 스마트폰 앱을 통한 데이터를 저장, 갱신해봅니다. 소켓을 사용하여 채팅 기능까지 구현하는 방법을 빠르게 배워봐요!",무료,스마트 기술,98.338%
C# 자마린 + 몽고DB + nodejs 연동,"직접 DB와 node express를 백엔드로 설치하고 C#으로 윈도우 앱과 스마트폰 앱을 통한 데이터를 저장, 갱신해봅니다. 소켓을 사용하여 채팅 기능까지 구현하는 방법을 빠르게 배워봐요!",무료,데이터 엔지니어,95.790%
C# 자마린 + 몽고DB + nodejs 연동,"직접 DB와 node express를 백엔드로 설치하고 C#으로 윈도우 앱과 스마트폰 앱을 통한 데이터를 저장, 갱신해봅니다. 소켓을 사용하여 채팅 기능까지 구현하는 방법을 빠르게 배워봐요!",무료,앱 개발자,84.192%
iOS SwiftUI AR 증강현실,"새로운 swiftUI 환경에서 증강현실 AR앱을 제작합니다.
ARKit, RealityKit, Core ML 등을 활용하여 나만의 스노우 앱을 만들어 봅니다.",무료,앱 개발자,63.960%
iOS SwiftUI AR 증강현실,"새로운 swiftUI 환경에서 증강현실 AR앱을 제작합니다.
ARKit, RealityKit, Core ML 등을 활용하여 나만의 스노우 앱을 만들어 봅니다.",무료,인공지능,46.521%
iOS SwiftUI AR 증강현실,"새로운 swiftUI 환경에서 증강현실 AR앱을 제작합니다.
ARKit, RealityKit, Core ML 등을 활용하여 나만의 스노우 앱을 만들어 봅니다.",무료,모바일 앱 개발,43.435%
"따라 하다 보면 완성되는, Ionic 훑어보기","Ionic의 전반적인 개발 과정을 이해하고, 모바일 앱에서 가장 많이 사용되는 요소의 개발 방법을 학습합니다.
이를 통해 효율적으로 나만의 하이브리드 모바일 앱 개발을 할 수 있습니다.",무료,모바일 앱 개발,99.787%
"따라 하다 보면 완성되는, Ionic 훑어보기","Ionic의 전반적인 개발 과정을 이해하고, 모바일 앱에서 가장 많이 사용되는 요소의 개발 방법을 학습합니다.
이를 통해 효율적으로 나만의 하이브리드 모바일 앱 개발을 할 수 있습니다.",무료,앱 개발자,96.116%
"따라 하다 보면 완성되는, Ionic 훑어보기","Ionic의 전반적인 개발 과정을 이해하고, 모바일 앱에서 가장 많이 사용되는 요소의 개발 방법을 학습합니다.
이를 통해 효율적으로 나만의 하이브리드 모바일 앱 개발을 할 수 있습니다.",무료,IoT,91.183%
MAXST AR SDK와 유니티를 사용한 증강현실 앱 개발,증강현실을 적용한 어플리케이션을 만들어보세요,무료,앱 개발자,97.943%
MAXST AR SDK와 유니티를 사용한 증강현실 앱 개발,증강현실을 적용한 어플리케이션을 만들어보세요,무료,모바일 앱 개발,74.565%
MAXST AR SDK와 유니티를 사용한 증강현실 앱 개발,증강현실을 적용한 어플리케이션을 만들어보세요,무료,웹 개발자,64.824%
공모전 사례로 풀어보는 앱 개발 프로젝트,"안드로이드 스튜디오 앱을 통해 보청기앱을 만들어 봅니다.
공모전에서 수상한 작품으로 공모전을 준비하는 분들에게 도움이 될 수 있도록 프로젝트 준비 및 진행 과정을 공유합니다.",무료,앱 개발자,99.266%
공모전 사례로 풀어보는 앱 개발 프로젝트,"안드로이드 스튜디오 앱을 통해 보청기앱을 만들어 봅니다.
공모전에서 수상한 작품으로 공모전을 준비하는 분들에게 도움이 될 수 있도록 프로젝트 준비 및 진행 과정을 공유합니다.",무료,모바일 앱 개발,93.237%
공모전 사례로 풀어보는 앱 개발 프로젝트,"안드로이드 스튜디오 앱을 통해 보청기앱을 만들어 봅니다.
공모전에서 수상한 작품으로 공모전을 준비하는 분들에게 도움이 될 수 있도록 프로젝트 준비 및 진행 과정을 공유합니다.",무료,웹 개발자,69.580%
앨런 iOS Concurrency(동시성) - 디스패치큐와 오퍼레이션큐의 이해,"동시성(Concurrency)프로그래밍 - iOS프로그래밍에서 필요한 동기, 비동기의 개념 및 그를 확장한 GCD 및 Operation에 관한 모든 내용을 다룹니다.",무료,모바일 앱 개발,81.403%
앨런 iOS Concurrency(동시성) - 디스패치큐와 오퍼레이션큐의 이해,"동시성(Concurrency)프로그래밍 - iOS프로그래밍에서 필요한 동기, 비동기의 개념 및 그를 확장한 GCD 및 Operation에 관한 모든 내용을 다룹니다.",무료,앱 개발자,75.886%
앨런 iOS Concurrency(동시성) - 디스패치큐와 오퍼레이션큐의 이해,"동시성(Concurrency)프로그래밍 - iOS프로그래밍에서 필요한 동기, 비동기의 개념 및 그를 확장한 GCD 및 Operation에 관한 모든 내용을 다룹니다.",무료,웹 개발자,37.842%
[왕초보편] 앱 8개를 만들면서 배우는 안드로이드 코틀린(Android Kotlin),"앱 8개를 만들면서 코틀린 문법을 이용하여 안드로이드 앱을 만들어봅니다.
8개의 실습자료 뿐만이 아니라, 다양한 이론 설명과 함께 안드로이드를 공부해봅니다.",무료,앱 개발자,78.242%
[왕초보편] 앱 8개를 만들면서 배우는 안드로이드 코틀린(Android Kotlin),"앱 8개를 만들면서 코틀린 문법을 이용하여 안드로이드 앱을 만들어봅니다.
8개의 실습자료 뿐만이 아니라, 다양한 이론 설명과 함께 안드로이드를 공부해봅니다.",무료,모바일 앱 개발,46.847%
[왕초보편] 앱 8개를 만들면서 배우는 안드로이드 코틀린(Android Kotlin),"앱 8개를 만들면서 코틀린 문법을 이용하여 안드로이드 앱을 만들어봅니다.
8개의 실습자료 뿐만이 아니라, 다양한 이론 설명과 함께 안드로이드를 공부해봅니다.",무료,웹 개발자,26.513%
앨런 Swift Concurrency for Swift 6 (Part-1),Swift Concurrency를 A부터 Z까지 다룹니다. (Part 1),무료,게임 기획자,37.957%
앨런 Swift Concurrency for Swift 6 (Part-1),Swift Concurrency를 A부터 Z까지 다룹니다. (Part 1),무료,게임개발자,33.246%
앨런 Swift Concurrency for Swift 6 (Part-1),Swift Concurrency를 A부터 Z까지 다룹니다. (Part 1),무료,사이버 침해 대응,31.500%
[초급] QML 프로그래밍 1편,QML은 Qt에서 제공하는 UI를 만드는 프로그래밍 언어입니다. JSON과 유사하고 JavaScript를 사용할 수 있습니다. C++ 언어 대신 QML을 이용하면 C++을 사용하지 않고도 쉽게 현대적인 고급 UI를 쉽게 개발할 수 있습니다.,무료,인공지능,75.938%
[초급] QML 프로그래밍 1편,QML은 Qt에서 제공하는 UI를 만드는 프로그래밍 언어입니다. JSON과 유사하고 JavaScript를 사용할 수 있습니다. C++ 언어 대신 QML을 이용하면 C++을 사용하지 않고도 쉽게 현대적인 고급 UI를 쉽게 개발할 수 있습니다.,무료,게임개발자,26.233%
[초급] QML 프로그래밍 1편,QML은 Qt에서 제공하는 UI를 만드는 프로그래밍 언어입니다. JSON과 유사하고 JavaScript를 사용할 수 있습니다. C++ 언어 대신 QML을 이용하면 C++을 사용하지 않고도 쉽게 현대적인 고급 UI를 쉽게 개발할 수 있습니다.,무료,웹 개발자,21.709%
코틀린 코루틴 완전 정복,"『코틀린 코루틴의 정석』 저자의 코틀린 코루틴 강의입니다. 이 강의에서는 코루틴에 대한 지식을 기초부터 핵심까지 다룹니다. 코루틴을 활용한 비동기 프로그래밍을 누구나 쉽게 이해할 수 있도록, 다양한 시각 자료와 명확한 설명을 제공합니다.",무료,데이터 분석,55.683%
코틀린 코루틴 완전 정복,"『코틀린 코루틴의 정석』 저자의 코틀린 코루틴 강의입니다. 이 강의에서는 코루틴에 대한 지식을 기초부터 핵심까지 다룹니다. 코루틴을 활용한 비동기 프로그래밍을 누구나 쉽게 이해할 수 있도록, 다양한 시각 자료와 명확한 설명을 제공합니다.",무료,IoT,52.388%
코틀린 코루틴 완전 정복,"『코틀린 코루틴의 정석』 저자의 코틀린 코루틴 강의입니다. 이 강의에서는 코루틴에 대한 지식을 기초부터 핵심까지 다룹니다. 코루틴을 활용한 비동기 프로그래밍을 누구나 쉽게 이해할 수 있도록, 다양한 시각 자료와 명확한 설명을 제공합니다.",무료,자동화 시스템,50.484%
Flutter로 SNS 앱 만들기,Flutter의 Provider / StateNotifier 상태 관리와 Firebase를 활용해서 SNS 앱을 제작합니다.,무료,게임개발자,49.343%
Flutter로 SNS 앱 만들기,Flutter의 Provider / StateNotifier 상태 관리와 Firebase를 활용해서 SNS 앱을 제작합니다.,무료,앱 개발자,48.439%
Flutter로 SNS 앱 만들기,Flutter의 Provider / StateNotifier 상태 관리와 Firebase를 활용해서 SNS 앱을 제작합니다.,무료,게임 기획자,42.241%
"Part2: 초중급 iOS 인스타그램 클론(SwiftUI, MVVM, Firebase, 2024)","인스타그램 앱을 따라만들면서 배우는
실전 SwiftUI강의",무료,앱 개발자,80.627%
"Part2: 초중급 iOS 인스타그램 클론(SwiftUI, MVVM, Firebase, 2024)","인스타그램 앱을 따라만들면서 배우는
실전 SwiftUI강의",무료,클라우드 보안,58.365%
"Part2: 초중급 iOS 인스타그램 클론(SwiftUI, MVVM, Firebase, 2024)","인스타그램 앱을 따라만들면서 배우는
실전 SwiftUI강의",무료,모바일 앱 개발,46.142%
"Part1: 진짜 왕초보 iOS 배우기(SwiftUI, SwiftData, 2024)","왕초보도 들을 수 있는 SwiftUI 강의!
아무것도 몰라도 시작할 수 있습니다.",무료,게임개발자,47.122%
"Part1: 진짜 왕초보 iOS 배우기(SwiftUI, SwiftData, 2024)","왕초보도 들을 수 있는 SwiftUI 강의!
아무것도 몰라도 시작할 수 있습니다.",무료,정보보안 전문가,46.180%
"Part1: 진짜 왕초보 iOS 배우기(SwiftUI, SwiftData, 2024)","왕초보도 들을 수 있는 SwiftUI 강의!
아무것도 몰라도 시작할 수 있습니다.",무료,인공지능,41.997%
맛집 지도앱 만들기 (React Native + NestJS),"리액트 네이티브를 이용해서 나만의 맛집 기록앱을 개발하고 출시하는 과정을 배우게 됩니다. 디자인부터 프론트 및 백엔드 개발, 배포까지 전 과정을 준비했어요.",무료,앱 개발자,97.548%
맛집 지도앱 만들기 (React Native + NestJS),"리액트 네이티브를 이용해서 나만의 맛집 기록앱을 개발하고 출시하는 과정을 배우게 됩니다. 디자인부터 프론트 및 백엔드 개발, 배포까지 전 과정을 준비했어요.",무료,웹 개발자,65.496%
