과목명,강의 내용,원래 가격,직무,일치율
실전도커: 도커로 나만의 딥러닝 클라우드 컴퓨터 만들기,"도커를 사용해서 클라우드에 딥러닝 분석환경을 만들 수 있습니다. 

구글, MS 등이 관리하는 도커 이미지와 클라우드가 결합할 때 여러분의 컴퓨터에서 가장 최신의 딥러닝 분석 방법으로 작업을 수행하는 것이 가능해집니다.",무료,데이터 분석,19.443%
CUDA 프로그래밍 (3) - C/C++/GPU 병렬 컴퓨팅 - 메모리 구조,"✅ 전체 (1) ~ (6)의 시리즈 중, (3) CUDA 메모리 계층구조 최적화 ✅ NVIDIA GPU + CUDA 프로그래밍을 기초부터 차근차근 설명합니다. ✅ C++/C 언어로 배열/행렬/이미지처리/통계처리/정렬 등을 병렬 컴퓨팅으로 매우 빠르게 처리합니다.",무료,모바일 앱 개발,51.815%
CUDA 프로그래밍 (3) - C/C++/GPU 병렬 컴퓨팅 - 메모리 구조,"✅ 전체 (1) ~ (6)의 시리즈 중, (3) CUDA 메모리 계층구조 최적화 ✅ NVIDIA GPU + CUDA 프로그래밍을 기초부터 차근차근 설명합니다. ✅ C++/C 언어로 배열/행렬/이미지처리/통계처리/정렬 등을 병렬 컴퓨팅으로 매우 빠르게 처리합니다.",무료,정보보안 전문가,46.757%
CUDA 프로그래밍 (3) - C/C++/GPU 병렬 컴퓨팅 - 메모리 구조,"✅ 전체 (1) ~ (6)의 시리즈 중, (3) CUDA 메모리 계층구조 최적화 ✅ NVIDIA GPU + CUDA 프로그래밍을 기초부터 차근차근 설명합니다. ✅ C++/C 언어로 배열/행렬/이미지처리/통계처리/정렬 등을 병렬 컴퓨팅으로 매우 빠르게 처리합니다.",무료,게임개발자,33.942%
하루만에 끝내는 생성형 AI 핵심 정리,"머신러닝, 딥러닝에서 생성형 AI까지 이르는 핵심 이론을 한번에 정리를 합니다. 그리고 쉬운 파이썬 코드로 다양한 생성형 AI 애플리케이션을 구현함으로써 AI 개발자로서 첫걸음을 뗄 수 있습니다.",무료,앱 개발자,88.485%
하루만에 끝내는 생성형 AI 핵심 정리,"머신러닝, 딥러닝에서 생성형 AI까지 이르는 핵심 이론을 한번에 정리를 합니다. 그리고 쉬운 파이썬 코드로 다양한 생성형 AI 애플리케이션을 구현함으로써 AI 개발자로서 첫걸음을 뗄 수 있습니다.",무료,웹 개발자,80.148%
하루만에 끝내는 생성형 AI 핵심 정리,"머신러닝, 딥러닝에서 생성형 AI까지 이르는 핵심 이론을 한번에 정리를 합니다. 그리고 쉬운 파이썬 코드로 다양한 생성형 AI 애플리케이션을 구현함으로써 AI 개발자로서 첫걸음을 뗄 수 있습니다.",무료,인공지능,75.735%
파이썬과 딥러닝을 활용한 시계열 자료 처리,"시간은 끊임없이 흐르고, 데이터는 계속 쌓입니다. 이 역동적인 세계에서 시계열 데이터는 우리 삶의 모든 측면에서 중요한 역할을 합니다. 금융 시장의 변동성부터 기후 변화의 미묘한 신호에 이르기까지, 시계열 데이터는 이 모든 것을 담고 있습니다. 이제 이 강력한 데이터를 파이썬과 딥러닝의 힘을 이용하여 해석하고 활용하는 방법을 배워보세요!",무료,데이터 엔지니어,77.539%
파이썬과 딥러닝을 활용한 시계열 자료 처리,"시간은 끊임없이 흐르고, 데이터는 계속 쌓입니다. 이 역동적인 세계에서 시계열 데이터는 우리 삶의 모든 측면에서 중요한 역할을 합니다. 금융 시장의 변동성부터 기후 변화의 미묘한 신호에 이르기까지, 시계열 데이터는 이 모든 것을 담고 있습니다. 이제 이 강력한 데이터를 파이썬과 딥러닝의 힘을 이용하여 해석하고 활용하는 방법을 배워보세요!",무료,게임 기획자,75.253%
파이썬과 딥러닝을 활용한 시계열 자료 처리,"시간은 끊임없이 흐르고, 데이터는 계속 쌓입니다. 이 역동적인 세계에서 시계열 데이터는 우리 삶의 모든 측면에서 중요한 역할을 합니다. 금융 시장의 변동성부터 기후 변화의 미묘한 신호에 이르기까지, 시계열 데이터는 이 모든 것을 담고 있습니다. 이제 이 강력한 데이터를 파이썬과 딥러닝의 힘을 이용하여 해석하고 활용하는 방법을 배워보세요!",무료,데브옵스 엔지니어,74.863%
AI 웹 프로그래밍 (Streamlit),AI 데이터 분석 및 모델링 결과를 Web Program 으로 만들어 보세요.,무료,데이터 분석,99.569%
AI 웹 프로그래밍 (Streamlit),AI 데이터 분석 및 모델링 결과를 Web Program 으로 만들어 보세요.,무료,데이터 엔지니어,36.544%
AI 웹 프로그래밍 (Streamlit),AI 데이터 분석 및 모델링 결과를 Web Program 으로 만들어 보세요.,무료,보안 엔지니어,31.126%
상상을 현실로! 스테이블 디퓨전 기본 클래스,"스테이블 디퓨전 설치와 기본적인 확장 기능을 배울 수 있으며, 
컨트롤넷의 기본 사용법을 익힐 수 있습니다.",무료,클라우드 보안,57.346%
상상을 현실로! 스테이블 디퓨전 기본 클래스,"스테이블 디퓨전 설치와 기본적인 확장 기능을 배울 수 있으며, 
컨트롤넷의 기본 사용법을 익힐 수 있습니다.",무료,사이버 침해 대응,51.795%
상상을 현실로! 스테이블 디퓨전 기본 클래스,"스테이블 디퓨전 설치와 기본적인 확장 기능을 배울 수 있으며, 
컨트롤넷의 기본 사용법을 익힐 수 있습니다.",무료,IoT,48.862%
"머신러닝 모델을 활용한 Android, iOS 앱 개발","간단한 머신러닝 모델을 기반으로 Android/iOS 앱을 만들어보고, 머신러닝에 대한 기초, TFLite를 사용한 모델 변환, 안드로이드 앱/iOS 앱을 구현하는 과정을 알게됩니다.",무료,앱 개발자,98.080%
"머신러닝 모델을 활용한 Android, iOS 앱 개발","간단한 머신러닝 모델을 기반으로 Android/iOS 앱을 만들어보고, 머신러닝에 대한 기초, TFLite를 사용한 모델 변환, 안드로이드 앱/iOS 앱을 구현하는 과정을 알게됩니다.",무료,게임개발자,79.667%
"머신러닝 모델을 활용한 Android, iOS 앱 개발","간단한 머신러닝 모델을 기반으로 Android/iOS 앱을 만들어보고, 머신러닝에 대한 기초, TFLite를 사용한 모델 변환, 안드로이드 앱/iOS 앱을 구현하는 과정을 알게됩니다.",무료,웹 개발자,75.873%
누구나 쉽게 이해하는 4차 산업혁명 ICBM기술,"4차 산업혁명 기술의 핵심인 ICBM (IoT, Cloud, Big
Data, ML) 및 자율주행차, 메타버스 등의 관련 기술을 기초부터 학습하여, 향후 기술의 변화를 대비할 수 있는 역량을 키우도록 합니다.",무료,IoT,97.813%
누구나 쉽게 이해하는 4차 산업혁명 ICBM기술,"4차 산업혁명 기술의 핵심인 ICBM (IoT, Cloud, Big
Data, ML) 및 자율주행차, 메타버스 등의 관련 기술을 기초부터 학습하여, 향후 기술의 변화를 대비할 수 있는 역량을 키우도록 합니다.",무료,스마트 기술,65.031%
누구나 쉽게 이해하는 4차 산업혁명 ICBM기술,"4차 산업혁명 기술의 핵심인 ICBM (IoT, Cloud, Big
Data, ML) 및 자율주행차, 메타버스 등의 관련 기술을 기초부터 학습하여, 향후 기술의 변화를 대비할 수 있는 역량을 키우도록 합니다.",무료,사이버 침해 대응,47.645%
머신러닝 처음 시작하기 (기초 원리 + 초급 실습),머신러닝을 처음 접하는 사람들을 대상으로 기초적인 머신러닝 이론을 간략하게 다룬 머신러닝 기초 강의입니다.,무료,사이버 침해 대응,49.828%
머신러닝 처음 시작하기 (기초 원리 + 초급 실습),머신러닝을 처음 접하는 사람들을 대상으로 기초적인 머신러닝 이론을 간략하게 다룬 머신러닝 기초 강의입니다.,무료,IoT,43.575%
머신러닝 처음 시작하기 (기초 원리 + 초급 실습),머신러닝을 처음 접하는 사람들을 대상으로 기초적인 머신러닝 이론을 간략하게 다룬 머신러닝 기초 강의입니다.,무료,게임개발자,37.591%
Python을 이용한 개인화 추천시스템 | 추천알고리즘 | 추천인공지능,다양한 추천 알고리즘 동작 원리를 이해함으로써 여러분만의 개인화 추천 알고리즘을 만들어보세요!,무료,인공지능,98.808%
Python을 이용한 개인화 추천시스템 | 추천알고리즘 | 추천인공지능,다양한 추천 알고리즘 동작 원리를 이해함으로써 여러분만의 개인화 추천 알고리즘을 만들어보세요!,무료,자동화 시스템,94.275%
Python을 이용한 개인화 추천시스템 | 추천알고리즘 | 추천인공지능,다양한 추천 알고리즘 동작 원리를 이해함으로써 여러분만의 개인화 추천 알고리즘을 만들어보세요!,무료,보안 엔지니어,55.474%
비전공자/입문자를 위한 Data Science(DS)와 AI 학습 & 취업 가이드,"Data Science(DS)와 Artificial Intelligence(AI) 관련 직군 분석과
관련 직군으로 커리어를 쌓아나가기 위한 학습 및 취업 로드맵을 배워보세요.",무료,데이터 분석,49.190%
비전공자/입문자를 위한 Data Science(DS)와 AI 학습 & 취업 가이드,"Data Science(DS)와 Artificial Intelligence(AI) 관련 직군 분석과
관련 직군으로 커리어를 쌓아나가기 위한 학습 및 취업 로드맵을 배워보세요.",무료,정보보안 전문가,37.021%
비전공자/입문자를 위한 Data Science(DS)와 AI 학습 & 취업 가이드,"Data Science(DS)와 Artificial Intelligence(AI) 관련 직군 분석과
관련 직군으로 커리어를 쌓아나가기 위한 학습 및 취업 로드맵을 배워보세요.",무료,웹 개발자,36.102%
인공지능 기초수학,"학창시절 수포자였나요?
인공지능에서 수학이 중요하다고 하는데, 어떻게 접근해야할지 막막하나요?
인공지능에서 수학이 중요한 이유는, 인공지능(머신러닝과 딥러닝)의 연산 과정에서 수학을 사용하고 있기 때문입니다.
인공지능을 이해하기 위한 미분, 선형대수학 및 확률과 통계에 대한 쉬운 설명을 위해 수학적 풀이보다 그래프(좌표)를 이용한 쉬운 설명으로 구성되었습니다.",무료,인공지능,99.837%
인공지능 기초수학,"학창시절 수포자였나요?
인공지능에서 수학이 중요하다고 하는데, 어떻게 접근해야할지 막막하나요?
인공지능에서 수학이 중요한 이유는, 인공지능(머신러닝과 딥러닝)의 연산 과정에서 수학을 사용하고 있기 때문입니다.
인공지능을 이해하기 위한 미분, 선형대수학 및 확률과 통계에 대한 쉬운 설명을 위해 수학적 풀이보다 그래프(좌표)를 이용한 쉬운 설명으로 구성되었습니다.",무료,게임 기획자,75.783%
인공지능 기초수학,"학창시절 수포자였나요?
인공지능에서 수학이 중요하다고 하는데, 어떻게 접근해야할지 막막하나요?
인공지능에서 수학이 중요한 이유는, 인공지능(머신러닝과 딥러닝)의 연산 과정에서 수학을 사용하고 있기 때문입니다.
인공지능을 이해하기 위한 미분, 선형대수학 및 확률과 통계에 대한 쉬운 설명을 위해 수학적 풀이보다 그래프(좌표)를 이용한 쉬운 설명으로 구성되었습니다.",무료,게임개발자,68.916%
GPU 프로그래밍 언어 CUDA(쿠다) 기초,"CUDA는 GPU 프로그래밍 언어입니다. C, C++를 변경해서 만든 언어라 C, C++ 개발자라면 누구나 쉽게 접근할 수 있습니다. 하지만 GPU 머신과 CUDA 프로그래밍의 특성을 반드시 이해하셔야 합니다.
본 강좌는 GPU 머신을 이해하고 CUDA를 작성하여 딥러닝의 기초 연산인 행렬곱을 실행합니다. 이 과정을 통해 여러분은 GPU 프로그래밍을 능숙하게 다루실 수 있습니다.",무료,인공지능,93.145%
GPU 프로그래밍 언어 CUDA(쿠다) 기초,"CUDA는 GPU 프로그래밍 언어입니다. C, C++를 변경해서 만든 언어라 C, C++ 개발자라면 누구나 쉽게 접근할 수 있습니다. 하지만 GPU 머신과 CUDA 프로그래밍의 특성을 반드시 이해하셔야 합니다.
본 강좌는 GPU 머신을 이해하고 CUDA를 작성하여 딥러닝의 기초 연산인 행렬곱을 실행합니다. 이 과정을 통해 여러분은 GPU 프로그래밍을 능숙하게 다루실 수 있습니다.",무료,스마트 기술,90.553%
GPU 프로그래밍 언어 CUDA(쿠다) 기초,"CUDA는 GPU 프로그래밍 언어입니다. C, C++를 변경해서 만든 언어라 C, C++ 개발자라면 누구나 쉽게 접근할 수 있습니다. 하지만 GPU 머신과 CUDA 프로그래밍의 특성을 반드시 이해하셔야 합니다.
본 강좌는 GPU 머신을 이해하고 CUDA를 작성하여 딥러닝의 기초 연산인 행렬곱을 실행합니다. 이 과정을 통해 여러분은 GPU 프로그래밍을 능숙하게 다루실 수 있습니다.",무료,게임개발자,90.341%
AI로 돈 버는 법 - 사례로 알아보는 AI Transformation,"AI 기업리뷰를 통해 AI 기술이 우리의 현재와 미래를 어떻게 바꿔나갈지를 다양한 사례를 통해 살펴봅니다. 
AI 프로젝트를 진행하기 위해 필요한 요소들을 살펴봄으로써 다가올 AI Transformation을 준비합니다.",무료,IoT,22.961%
AI로 돈 버는 법 - 사례로 알아보는 AI Transformation,"AI 기업리뷰를 통해 AI 기술이 우리의 현재와 미래를 어떻게 바꿔나갈지를 다양한 사례를 통해 살펴봅니다. 
AI 프로젝트를 진행하기 위해 필요한 요소들을 살펴봄으로써 다가올 AI Transformation을 준비합니다.",무료,보안 엔지니어,20.781%
AI로 돈 버는 법 - 사례로 알아보는 AI Transformation,"AI 기업리뷰를 통해 AI 기술이 우리의 현재와 미래를 어떻게 바꿔나갈지를 다양한 사례를 통해 살펴봅니다. 
AI 프로젝트를 진행하기 위해 필요한 요소들을 살펴봄으로써 다가올 AI Transformation을 준비합니다.",무료,게임개발자,20.257%
캐글 Advanced 머신러닝 실전 박치기,"본 강의는 Kaggle의 Home Credit Default Risk 경연대회 머신 러닝 모델을 구현을 통해, 여러분을 실전적인 머신 러닝 구축 전문가로 한단계 실력을 업그레이드 할 수 있도록 만들어진 강의 입니다.",무료,보안 엔지니어,37.174%
캐글 Advanced 머신러닝 실전 박치기,"본 강의는 Kaggle의 Home Credit Default Risk 경연대회 머신 러닝 모델을 구현을 통해, 여러분을 실전적인 머신 러닝 구축 전문가로 한단계 실력을 업그레이드 할 수 있도록 만들어진 강의 입니다.",무료,게임 기획자,26.088%
캐글 Advanced 머신러닝 실전 박치기,"본 강의는 Kaggle의 Home Credit Default Risk 경연대회 머신 러닝 모델을 구현을 통해, 여러분을 실전적인 머신 러닝 구축 전문가로 한단계 실력을 업그레이드 할 수 있도록 만들어진 강의 입니다.",무료,게임개발자,24.945%
딥러닝 차세대 혁신기술 - 물리 정보 신경망 입문과 Pytorch 실습,"딥러닝 차세대 혁신기술 중 하나인 물리 정보 신경망을 공부하고 Pytorch를 이용하여 직접 구현을 하는 강의입니다.
인공지능의 차세대 혁신기술을 저와 함께 배워봐요!",무료,인공지능,82.396%
딥러닝 차세대 혁신기술 - 물리 정보 신경망 입문과 Pytorch 실습,"딥러닝 차세대 혁신기술 중 하나인 물리 정보 신경망을 공부하고 Pytorch를 이용하여 직접 구현을 하는 강의입니다.
인공지능의 차세대 혁신기술을 저와 함께 배워봐요!",무료,정보보안 전문가,48.321%
딥러닝 차세대 혁신기술 - 물리 정보 신경망 입문과 Pytorch 실습,"딥러닝 차세대 혁신기술 중 하나인 물리 정보 신경망을 공부하고 Pytorch를 이용하여 직접 구현을 하는 강의입니다.
인공지능의 차세대 혁신기술을 저와 함께 배워봐요!",무료,클라우드 보안,28.936%
처음하는 파이썬 머신러닝 부트캠프 (쉽게! 실제 캐글 문제 풀며 정리하기) [데이터분석/과학 Part3],"강사가 처음 머신러닝을 익혔을 때, 실패했던 경험을 바탕으로, 쉽게 머신러닝을 이해하고, 실제 문제에 적용할 수 있도록 기존 강의와 다르게, 새롭게 꾸민 강의입니다",무료,데이터 분석,99.388%
처음하는 파이썬 머신러닝 부트캠프 (쉽게! 실제 캐글 문제 풀며 정리하기) [데이터분석/과학 Part3],"강사가 처음 머신러닝을 익혔을 때, 실패했던 경험을 바탕으로, 쉽게 머신러닝을 이해하고, 실제 문제에 적용할 수 있도록 기존 강의와 다르게, 새롭게 꾸민 강의입니다",무료,데브옵스 엔지니어,82.100%
처음하는 파이썬 머신러닝 부트캠프 (쉽게! 실제 캐글 문제 풀며 정리하기) [데이터분석/과학 Part3],"강사가 처음 머신러닝을 익혔을 때, 실패했던 경험을 바탕으로, 쉽게 머신러닝을 이해하고, 실제 문제에 적용할 수 있도록 기존 강의와 다르게, 새롭게 꾸민 강의입니다",무료,데이터 엔지니어,81.774%
[PY 0204] 인공지능을 위한 파이썬 레벨3 - 함수,"[인공지능을 위한 파이썬] 시리즈의 네 번째 강의입니다.
파이썬의 문법과 함께 머신러닝, 딥러닝에 사용되는 실전연습을 하는 강의입니다.",무료,인공지능,99.755%
[PY 0204] 인공지능을 위한 파이썬 레벨3 - 함수,"[인공지능을 위한 파이썬] 시리즈의 네 번째 강의입니다.
파이썬의 문법과 함께 머신러닝, 딥러닝에 사용되는 실전연습을 하는 강의입니다.",무료,IoT,60.522%
[PY 0204] 인공지능을 위한 파이썬 레벨3 - 함수,"[인공지능을 위한 파이썬] 시리즈의 네 번째 강의입니다.
파이썬의 문법과 함께 머신러닝, 딥러닝에 사용되는 실전연습을 하는 강의입니다.",무료,IoT 보안,35.985%
삼각형의 실전! OpenAI Triton 초급,이 강의를 통해 커널 프로그래밍과 PyTorch 모듈 개발 방법을 배울 수 있습니다. 배운 지식을 활용하여 모델을 더 빠르게 개발할 수 있습니다.,무료,웹 개발자,64.084%
삼각형의 실전! OpenAI Triton 초급,이 강의를 통해 커널 프로그래밍과 PyTorch 모듈 개발 방법을 배울 수 있습니다. 배운 지식을 활용하여 모델을 더 빠르게 개발할 수 있습니다.,무료,앱 개발자,63.691%
삼각형의 실전! OpenAI Triton 초급,이 강의를 통해 커널 프로그래밍과 PyTorch 모듈 개발 방법을 배울 수 있습니다. 배운 지식을 활용하여 모델을 더 빠르게 개발할 수 있습니다.,무료,게임개발자,62.791%
실전 인공지능으로 이어지는 딥러닝 개념 잡기,다양한 인공 신경망의 구조와 동작 원리를 이해하고 좋은 모델을 만드는데 필요한 필수 지식을 전달하는 강의입니다.,무료,인공지능,99.614%
실전 인공지능으로 이어지는 딥러닝 개념 잡기,다양한 인공 신경망의 구조와 동작 원리를 이해하고 좋은 모델을 만드는데 필요한 필수 지식을 전달하는 강의입니다.,무료,모바일 앱 개발,79.108%
실전 인공지능으로 이어지는 딥러닝 개념 잡기,다양한 인공 신경망의 구조와 동작 원리를 이해하고 좋은 모델을 만드는데 필요한 필수 지식을 전달하는 강의입니다.,무료,IoT,68.790%
인공지능 활용 추천 시스템,"본 강의는 추천시스템의 기본개념부터 딥러닝 적용원리까지 다룹니다. 협업 필터링, 콘텐츠 기반 필터링, 하이브리드 추천 시스템 등 다양한 추천 알고리즘을 배우며 추천 서비스 개발을 위한 실무역량을 키워보세요!",무료,인공지능,99.722%
인공지능 활용 추천 시스템,"본 강의는 추천시스템의 기본개념부터 딥러닝 적용원리까지 다룹니다. 협업 필터링, 콘텐츠 기반 필터링, 하이브리드 추천 시스템 등 다양한 추천 알고리즘을 배우며 추천 서비스 개발을 위한 실무역량을 키워보세요!",무료,앱 개발자,89.141%
인공지능 활용 추천 시스템,"본 강의는 추천시스템의 기본개념부터 딥러닝 적용원리까지 다룹니다. 협업 필터링, 콘텐츠 기반 필터링, 하이브리드 추천 시스템 등 다양한 추천 알고리즘을 배우며 추천 서비스 개발을 위한 실무역량을 키워보세요!",무료,자동화 시스템,79.127%
케라스를 이용한 딥러닝,"딥러닝 학습 원리를 이해 하고 케라스를 이용하여 모델, 레이어, 최적화 기술을 사용하여 신경망 구축 및 훈련의 복잡성을 단순화 하는 과정을 설명 합니다.",무료,스마트 기술,89.486%
케라스를 이용한 딥러닝,"딥러닝 학습 원리를 이해 하고 케라스를 이용하여 모델, 레이어, 최적화 기술을 사용하여 신경망 구축 및 훈련의 복잡성을 단순화 하는 과정을 설명 합니다.",무료,IoT,54.504%
케라스를 이용한 딥러닝,"딥러닝 학습 원리를 이해 하고 케라스를 이용하여 모델, 레이어, 최적화 기술을 사용하여 신경망 구축 및 훈련의 복잡성을 단순화 하는 과정을 설명 합니다.",무료,모바일 앱 개발,53.268%
현업 실무자에게 배우는 Kaggle 머신러닝 입문 - ML 엔지니어 실무 꿀팁,"다양한 Kaggle 예제를 통해 머신러닝(Machine Learning) 기초부터 차근차근 학습하고,
쉽게 접하기 힘든 현업 머신러닝 엔지니어의 생생한 프로젝트 경험담 및 실무 꿀팁까지 한번에 배워보세요.",무료,데이터 엔지니어,72.406%
현업 실무자에게 배우는 Kaggle 머신러닝 입문 - ML 엔지니어 실무 꿀팁,"다양한 Kaggle 예제를 통해 머신러닝(Machine Learning) 기초부터 차근차근 학습하고,
쉽게 접하기 힘든 현업 머신러닝 엔지니어의 생생한 프로젝트 경험담 및 실무 꿀팁까지 한번에 배워보세요.",무료,보안 엔지니어,61.624%
현업 실무자에게 배우는 Kaggle 머신러닝 입문 - ML 엔지니어 실무 꿀팁,"다양한 Kaggle 예제를 통해 머신러닝(Machine Learning) 기초부터 차근차근 학습하고,
쉽게 접하기 힘든 현업 머신러닝 엔지니어의 생생한 프로젝트 경험담 및 실무 꿀팁까지 한번에 배워보세요.",무료,데브옵스 엔지니어,52.550%
[개념부터 실습까지] 추천 시스템 입문편,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 추천 시스템 입문 강의. 
추천 시스템의 기초 이론을 배우고, 영화 데이터 분석을 함께 실습해 봅니다.",무료,데이터 분석,99.041%
