과목명,강의 내용,원래 가격
블록체인 채굴 모듈 만들어보기,"이 강의에서는 실제로 코드를 통해 블록체인의 코어 모듈을 간접적으로 구현 합니다.

이러한 과정을 통해서 블록체인이 무엇인지, 어떻게 동작하는지에 대해서 상세하게 배우실 수 있습니다.

실제로 블록체인 공부를 하고, 실무에서 블록체인 관련 업무를 하고 있는 제가 느낀바로는

대부분의 강의는 이론적인 내용에 집중이 되어 있거나, 스마트컨트랙트라는 일부 기능을 사용하는데에 집중이 되어 있습니다.

이런 강의와는 조금 차이를 두고 싶어서 저는 여러분들이 제 강의를 하나하나 따라하시면서 코어 모듈을 간접적으로 만들어 볼 수 있게 준비를 하였습니다.",무료
알기 쉬운 블록체인,"기획자와 프로그래머가 함께 공부하는 블록체인 원리와 기술. 블록체인의 상세한 작동원리와 기반기술, 비트코인의 탄생 배경, 블록체인을 구성하는 해시 함수와 암호화 기법 등 세부기술을 쉽게 해설하여 기획자와 프로그래머 모두가 블록체인의 현업 적용을 위한 발판을 마련할 수 있습니다.",무료
NFT 만들며 배우는 블록체인과 웹3 기초,NFT를 직접 만들면서 블록체인과 웹3의 기초적인 내용을 학습할 수 있습니다.,무료
Klaytn 클레이튼 블록체인 어플리케이션 만들기 - NFT,이 강좌를 통해 대체불가능한 NFT (Non Fungible Token) 을 활용한 비앱을 만들 수 있게 됩니다.,무료
블록체인이 미래다,"관심은 가지만 용어가 어려워 이해하기 힘든 블록체인, 코인, NFT!                                                                                           이미 현실에 녹아들고 있는 블록체인에 대해 기본 개념부터 하나씩 알려드려요:)",무료
"ERC20 깨부수기 (+ truffle, 프론트엔드)","누구나 쉽게 솔리디티(Solidity)에 대해 이해하고, 블록체인과 프론트엔드를 연결하는 방법에 대해 배울 수 있는 솔리디티 깨부수기 - ERC20 강의입니다.",무료
블록체인 이더리움 부동산 댑(Dapp) 만들기 - 기본편,스마트 계약 및 분산 어플리케이션 이론과 부동산 댑(Dapp)을 처음부터 끝까지 만들어보며 나중에 혼자서도  분산 어플리케이션을 만들어 볼 수 있도록 제작했습니다.,무료
장박사의 블록체인 이해와 구조,"비전공자, 신입, 기획자 분들이 코딩을 한번도 안 해 봤지만 블록체인 디앱을 만들 수 있게 하는 강의",무료
"세상을 바꿀 Web3 개발자 시리즈 1 (블록체인, 리믹스, 리액트, web3.js)",블록체인 Web3 웹 애플리케이션을 개발하는 과정입니다.,무료
'블록체인 게임'에 대한 넓고 얕은 지식,"블록체인 게임개발에 대한 열기가 매우 뜨거운 요즈음, 블록체인 게임 개발 및 서비스에 대한 전망, 현황, 성공사례 등 각종 이슈를 다루는 세미나 형태의 강의입니다. 블록체인 게임 개발 및 서비스에 직접 관련이 없더라도 시야를 넓히는 좋은 계기가 될 것으로 생각합니다.",무료
EOSJS를 이용한 EOS 심플 월렛 만들기,EosJs를 이용하여 지갑을 만들고 나아가 다른 Dapp도 만들 수 있는 기초를 쌓을 수 있습니다.,무료
블록체인 기반의 스마트컨트랙트 개발,이더리움 기반의 DAPP 개발로 블록체인을 배워보세요. Smart Contract의 구현을 통해서 실전 개발에 대한 지식도 알 수 있습니다.,무료
[D.P.2(DappProject2)] 디앱 프로젝트2(Klaytn 네트워크를 활용한 NFT 생성 및 판매),"이 강의를 통해 Klaytn 네트워크에서 NFT를 발행하는 방법을 배울 수 있습니다.
더불어 React+TypeScript 조합으로 디앱을 구성하는 법을 배웁니다.",무료
"[D.P.(DappProject)] 디앱 프로젝트(NFT 생성, NFT 구매 및 판매)","리액트, 솔리디티(ERC721)를 활용하여 기본적인 NFT 생성, NFT 구매 및 판매를 배우게 됩니다.
스마트 컨트랙트 작성과 리액트를 활용하여 작성한 스마트 컨트랙트를 웹에 연동하는 법을 배우게 됩니다.",무료
세상을 바꿀 Web3 개발자 시리즈 2 (프로젝트 만들기),블록체인 Web3 개발 프로젝트 과정입니다. 시리즈 1편을 통해 기초를 수강하고 배우시면 좋습니다.,무료
블록체인 웹사이트 따라 만들기 시리즈5(clone),간단한 블록체인 DApp(디앱) 웹사이트를 따라 만들어 봅니다.,무료
블록체인3.0 NFT GAME,"기존 ""블록체인 게임을 위한 넓고 얕은 지식""의 내용에서 한발 더 나아가 NFT와 NFT GAME에 대한 내용을 구체적으로 다루었습니다. 최근 론칭되고 있는 NFT 게임들의 사례를 통하여 기술 적용 트랜드 변화, 경제 시스템, 효과적으로 NFT 게임을 개발하는 전략을 소개합니다.",무료
솔리디티 깨부수기,"이 강의를 통해서, 스마트 컨트랙 제작을 위한 솔리디티 언어를 배울수 있습니다.",무료
파이썬으로 구현하는 거래 자동화 봇 (챗봇),이 수업에서는 수익을 볼 수 있는 로직을 만들어 비트코인을 그 로직에 맞게 거래소를 통해 사고 팔게하며 거래에 대한 결과를 텔레그램으로 받는 프로그램을 만들 것입니다.,무료
블록체인 이더리움 지분증명(Proof of Stake),작업증명(PoW)에서 지분증명(PoS)으로 전환된 이더리움의 기본 개념을 가볍게 이해하기 위한 강좌입니다.,무료
Klaytn 클레이튼 블록체인 어플리케이션 만들기 - 이론과 실습,"이 강의를 통해 블록체인 플랫폼인 클레이튼(Klaytn)의 구조에 대해 알아보고, 직접 툴을 사용해보며 블록체인 어플리케이션(BApp)을 만들어 봅니다.",무료
웰던 스튜디오의 Sui 파헤치기,Sui(수이)는 유저와 개발자 모두에게 친화적인 레이어1 네트워크입니다. 빠른 속도와 적은 거래비용을 통해서 광범위한 사용성을 지향하고 있습니다. 웰던스튜디오는 Sui의 공식적인 교육 파트너로서 해당 네트워크를 통한 개발과 사용의 구체적인 과정을 안내해 드리고자 합니다.,무료
"[Get it Trend] 블록체인과 핀테크, 디지털 시대의 생존전략을 세워라!",블록체인과 핀테크 기술은 4차 산업혁명의 시대에서 미래로 더 발전하기 위한 기업의 필수적인 기술로 이해하고 받아들이는 것이 필요합니다. 블록체인의 개념부터 변화하는 금융 비즈니스 모델을 파악하여 블록체인과 핀테크 관련 비즈니스를 선도하는 기업으로 거듭나 봅시다!,무료
온국민 클레이튼 표준 토큰 빠르게 만들기,클레이튼 플랫폼의 토큰을 만드는 방법을 알게 됩니다.,무료
탈중앙화 eBay 개발!: 실리콘밸리 개발자와 함께,"상당히 심화된 내용을 다루는 강의입니다. 너무나도 유명한 마켓인 eBay(이베이)를 구현합니다. 단, 이더리움과 IPFS 기반으로 완전히 탈중앙화된 버전으로! 핵심 로직을 모두 솔리디티로 짜서 이더리움 위에서 마켓이 돌아가게 하는, 그 모든 과정을 직접 함께 해보는 강의입니다.",무료
리액트네이티브 블록체인 dapp 개발 시리즈4(기초입문),리액트네이티브의 기초를 배워서 자신만의 앱이나 혹은 추후 블록체인에 연결할수있는 디앱을 만드는 기초가 됩니다.,무료
Clicker Game을 여러 블록체인에서 구현하기,"웹3 개발, 어디서부터 시작해야 할지 고민이셨나요? 🤔 지식 컨텐츠부터 실전 코딩까지 더 많은 개발자들과 탄탄한 Web3 인프라를 만들어가기 위해, DSRV는 다양한 메인넷과 스마트 컨트랙트에 대한 가이드를 제공합니다. 정보를 찾기 어려워 쉽사리 시작하지 못했던 Web3 dApp 및 컨트랙트 개발, 이제 Dev Playground와 함께 차근차근 알아가보아요! 👩‍💻",무료
누구나 할 수 있는 NFT 만들기,"프로그래밍적인 지식이 없어도, 누구나 쉽게 NFT를 발행 할 수 있습니다.
그림을 못 그려도,  누구나 쉽게 NFT를 발행 할 수 있습니다.",무료
Klaytn 클레이튼 스마트계약과 탈중앙앱,"이 수업은 카카오 자회사인 그라운드엑스 (Ground X)가 만든 클레이튼(Klaytn) 블록체인을 사용하는 수업입니다. 클레이튼으로 탈중앙앱을 만들기 위해 필요한 내용들을 담고 있으며 클레이튼이 제공하는 블록체인 SDK (e.g., caver-js)의 사용법을 비롯하여 클레이튼의 개발 생태계를 소개합니다.",무료
Ethereum 실전! 초보자를 위한 Lottery Dapp 개발,환경설정부터 스마트컨트랙트 및 실제 web 제작까지 Dapp 개발 프로세스에 대한 전체적인 이해를 완벽하게 시켜드립니다.,무료
트러플로 dApp 개발 : 실리콘밸리 개발자와 함께,"Ropsten 테스트넷에 배포해보는 경험을 해보고, 또 트러플 프레임워크를 활용해서 솔리디티로 더욱 성숙한 스마트 컨트랙트를 작성하는 방법을 배웁니다.",무료
이더리움 & 솔리디티 기반의 투표 dApp 구현하기,"이더리움과 솔리디티를 활용해서, 나의 첫 스마트 컨트랙트를 만들고 간단한 수준의 투표 dApp 을 만들어보는 강의입니다.",무료
"jQuery로 구현하는 NFT 마켓플레이스 (이더리움, 폴리곤)","jQuery로 구현하는 NFT 마켓플레이스 (이더리움, 폴리곤)에 대해 학습합니다.",무료
이더리움 입문 바이블: 모든 이더리움 입문자를 위하여,"본 텍스트 강의는 하나의 '바이블' 을 자처하고, 그러한 기초 내용을 올바르게 담고자 노력한 자료입니다.",무료
블록체인과 솔리디티,Solinity 언어와 Truffle 빌드 프레임 워크를 사용하는 Ethereum 블록체인에서의 탈중앙화 애플리케이션 (Dapp) 개발,무료
