과목명,강의 내용,원래 가격
캐글 Advanced 머신러닝 실전 박치기,"본 강의는 Kaggle의 Home Credit Default Risk 경연대회 머신 러닝 모델을 구현을 통해, 여러분을 실전적인 머신 러닝 구축 전문가로 한단계 실력을 업그레이드 할 수 있도록 만들어진 강의 입니다.",무료
딥러닝 차세대 혁신기술 - 물리 정보 신경망 입문과 Pytorch 실습,"딥러닝 차세대 혁신기술 중 하나인 물리 정보 신경망을 공부하고 Pytorch를 이용하여 직접 구현을 하는 강의입니다.
인공지능의 차세대 혁신기술을 저와 함께 배워봐요!",무료
처음하는 파이썬 머신러닝 부트캠프 (쉽게! 실제 캐글 문제 풀며 정리하기) [데이터분석/과학 Part3],"강사가 처음 머신러닝을 익혔을 때, 실패했던 경험을 바탕으로, 쉽게 머신러닝을 이해하고, 실제 문제에 적용할 수 있도록 기존 강의와 다르게, 새롭게 꾸민 강의입니다",무료
[PY 0204] 인공지능을 위한 파이썬 레벨3 - 함수,"[인공지능을 위한 파이썬] 시리즈의 네 번째 강의입니다.
파이썬의 문법과 함께 머신러닝, 딥러닝에 사용되는 실전연습을 하는 강의입니다.",무료
삼각형의 실전! OpenAI Triton 초급,이 강의를 통해 커널 프로그래밍과 PyTorch 모듈 개발 방법을 배울 수 있습니다. 배운 지식을 활용하여 모델을 더 빠르게 개발할 수 있습니다.,무료
실전 인공지능으로 이어지는 딥러닝 개념 잡기,다양한 인공 신경망의 구조와 동작 원리를 이해하고 좋은 모델을 만드는데 필요한 필수 지식을 전달하는 강의입니다.,무료
인공지능 활용 추천 시스템,"본 강의는 추천시스템의 기본개념부터 딥러닝 적용원리까지 다룹니다. 협업 필터링, 콘텐츠 기반 필터링, 하이브리드 추천 시스템 등 다양한 추천 알고리즘을 배우며 추천 서비스 개발을 위한 실무역량을 키워보세요!",무료
케라스를 이용한 딥러닝,"딥러닝 학습 원리를 이해 하고 케라스를 이용하여 모델, 레이어, 최적화 기술을 사용하여 신경망 구축 및 훈련의 복잡성을 단순화 하는 과정을 설명 합니다.",무료
현업 실무자에게 배우는 Kaggle 머신러닝 입문 - ML 엔지니어 실무 꿀팁,"다양한 Kaggle 예제를 통해 머신러닝(Machine Learning) 기초부터 차근차근 학습하고,
쉽게 접하기 힘든 현업 머신러닝 엔지니어의 생생한 프로젝트 경험담 및 실무 꿀팁까지 한번에 배워보세요.",무료
[개념부터 실습까지] 추천 시스템 입문편,"인프런 누적 수강생 10,000명 이상, 풍부한 온/오프라인 강의 경험을 가진 데이터리안의 추천 시스템 입문 강의. 
추천 시스템의 기초 이론을 배우고, 영화 데이터 분석을 함께 실습해 봅니다.",무료
머신러닝/딥러닝 소개 및 학습을 위한 파이썬 속성 과정,"머신러닝 및 딥러닝 전반에 대한 개요와 기본 도구 사용 방법, 그리고 학습에 필요한 파이썬 언어 지식을 단기간에 습득할 수 있습니다.","₩11,000"
[Pytorch] 파이토치를 활용한 딥러닝 모델 구축,직관적이고 파이써닉한 파이토치(Pytorch)를 통해 딥러닝 모델을 직접 구축하는 방법을 학습해 봅니다.,"₩88,000"
파이썬을 활용한 머신러닝 딥러닝 입문,"데이터의 세계로 첫발을 내딛고 싶으신가요? AI의 핵심 기술인 머신러닝과 딥러닝을 파이썬과 함께 배워보세요. 이 강의는 머신러닝과 딥러닝의 기초부터 실제 응용까지, 단계별로 친절하게 안내합니다. 전통적인 머신러닝과 딥러닝은 많은 부분에서 동일한 원리와 기술 체계에 기반하고 있습니다. 따라서 본 강의에서는 두 가지를 별도의 과목으로 분리하지 않고 하나의 연결된 과정으로 구성하여 입문자가 머신러닝 전반에 걸친 이해도를 높일 수 있도록 하였습니다.",무료
수학 없이 시작하는 인공지능 첫걸음: 기초부터 최신 트렌드까지,"수학 수식과 같이 어려운 내용은 덜어내어, 가벼운 마음으로 AI에 대한 전반적인 지식을 얻을 수 있는 강의입니다.",무료
머신러닝 엔지니어가 알려주는 [아는 만큼 보이는 AI],수학과 코딩은 잘 모르지만 머신러닝의 트렌드를 파악하고 머신러닝 기술을 활용해서 프로덕트를 기획하고 싶은 분들을 위한 머신러닝 기초 강의입니다.,무료
YOLO 구현으로 배우는 딥러닝 논문 구현 with TensorFlow 2.0,YOLO(You Only Look Once) 논문을 TensorFlow 2.0을 이용해서 밑바닥부터 구현해보며 딥러닝 논문 구현 능력을 배울 수 있는 강의입니다.,무료
[PY 0205] 인공지능을 위한 파이썬 레벨4 - 객체와 클래스,"[인공지능을 위한 파이썬] 시리즈의 다섯 번째 강의입니다. 파이썬의 문법과 함께 머신러닝, 딥러닝에 사용되는 실전연습을 하는 강의입니다.",무료
[PY 0203] 디버깅 기초,"[인공지능을 위한 파이썬] 시리즈의 세 번째 강의입니다.
파이썬 코드를 디버깅 하는 방법에 대해 배웁니다.",무료
[PY 0202] 인공지능을 위한 파이썬 레벨2,"[인공지능을 위한 파이썬] 시리즈의 두 번째 강의입니다.
파이썬의 문법과 함께 머신러닝, 딥러닝에 사용되는 실전연습을 하는 강의입니다.",무료
[파이썬] 수학없이 머신러닝 쉽게 이해하고 구현하기,수학없이 고급 머신러닝 모델을 이해하고 파이썬을 통해 쉽게 구현하는 방법을 배웁니다.,무료
CUDA 프로그래밍 (1) - C/C++/GPU 병렬 컴퓨팅 - CUDA 커널 kernel,"✅ 전체 (1) ~ (6)의 시리즈 중, (1) CUDA 커널(kernel) 실제로 만들기
✅ NVIDIA GPU + CUDA 프로그래밍을 기초부터 차근차근 설명합니다. 
✅ C++/C 언어로 배열/행렬/이미지처리/통계처리/정렬 등을 병렬 컴퓨팅으로 매우 빠르게 처리합니다.",무료
머신러닝/딥러닝으로 이어지는 선형대수,머신러닝/딥러닝 연구에 반드시 필요한 선형대수 내용을 다룹니다.,무료
[파이토치] 실전 인공지능으로 이어지는 딥러닝 - 기초부터 논문 구현까지,인공지능 분야에서 활용도가 매우 높은 딥러닝 프레임워크인 Pytorch를 이용하여 다양한 인공 신경망을 구현하는 강의입니다.,무료
생성형 AI 기초와 동작 원리 이해,딥러닝을 활용한 생성모델 AI 모델의 작동 원리를 이해하고 실습을 통해 활용 방법을 습득합니다.,"₩77,000"
최신 빅데이터 및 인공지능 트렌드 이해,"데이터의 바다에서 길을 찾고, 인공지능의 미래를 탐험하세요. 이 강의는 빅데이터와 인공지능(AI)이라는 두 개의 거대한 테크놀로지의 흐름을 탐구하고, 이들이 어떻게 우리의 삶과 업무에 혁신을 가져오고 있는지를 살펴봅니다.",무료
JavaScript와 Tensorflow.js로 배우는 머신러닝,"웹 개발자라면 누구나 알고 있는 JavaScript, 이제 이 강력한 언어로 머신러닝의 세계를 탐험해보세요! 이 강의는 JavaScript와 함께 강력한 머신러닝 라이브러리인 Tensorflow.js를 활용하여 머신러닝 모델을 구축하고 배포하는 방법을 배웁니다. 웹 기반의 머신러닝 애플리케이션 개발에 필요한 모든 기술을 단계별로 안내합니다. 이 강좌를 통해 학습자는 머신러닝의 핵심 원리를 체계적으로 이해하게 됩니다. 더불어, 자바스크립트와 Tensorflow.js API를 활용한 딥러닝 모델의 개발 방법 및 사전 훈련된 모델을 기반으로 하는 전이 학습(Transfer Learning) 활용법과, 이 모든 지식이 브라우저 환경에서 상호작용적으로 적용되는 법을 배우게 됩니다.",무료
딥러닝 이론 + PyTorch 실무 완전 정복,딥러닝 현업에 종사하기 위해 필요한 딥러닝의 “핵심 개념”을 배우고 PyTorch을 활용한 실습을 통해서 실제 딥러닝 프로젝트를 수행하는데 필요한 실무를 가르쳐주는 강의입니다.,무료
데이터 리터러시의 이해,오렌지3를 활용하여 데이터를 분석하고 시각화하며 머신러닝 개념을 알아보자!,무료
[PL 0301] 파이썬 가상환경과 아나콘다,가상환경의 개념과 설정하는 방법을 배웁니다.,무료
6일 만에 배우는 파이토치 딥러닝 기초,"6일 동안 하루 3시간씩 투자하면, 파이토치를 이용한 딥러닝 기초를 배울 수 있습니다. 자~ 시작해 볼까요?",무료
[AI 실무] AI Research Engineer를 위한 논문 구현 시작하기 with PyTorch,AI를 연구하거나 이를 활용하여 프로젝트를 진행할 때 기본적인 논문 구현은 필수 입니다. 이 강의를 통해 실제 논문을 한편 구현해보며 실무 역량을 업그레이드 해봅시다!,무료
처음하는 딥러닝과 파이토치(Pytorch) 부트캠프 (쉽게! 기본부터 챗GPT 핵심 트랜스포머까지) [데이터분석/과학 Part4],"강사가 처음 딥러닝을 익혔을 때 실패했던 경험을 바탕으로 딥러닝 이해에 필요한 수학, 이론, 파이토치 기반 구현, 전이학습, GPT 핵심 트랜스포머까지 차근차근 익힐 수 있도록 새롭게 꾸민 강의입니다.",무료
Python을 이용한 딥러닝 활용,python과 Keras를 사용한 딥러닝 사용 방법을 학습합니다.,무료
CUDA 프로그래밍 (6) - C/C++/GPU 병렬 컴퓨팅 - 서치 & 소트,"✅ 전체 (1) ~ (6)의 시리즈 중, (6) parallel search, parallel sort 구현 ✅ NVIDIA GPU + CUDA 프로그래밍을 기초부터 차근차근 설명합니다. ✅ C++/C 언어로 배열/행렬/이미지처리/통계처리/정렬 등을 병렬 컴퓨팅으로 매우 빠르게 처리합니다.",무료
강화학습 입문에서 Deep Q-learning/Policy Gradient까지,"최근 인공지능 분야의 놀라운 성과는 모두 강화 학습 분야에서 발표되고 있습니다.  로봇, 자율 주행 기술, 인간을 닮은 기계 등 진정한 인공 지능 기술의 혁신을 이루어 내고 있는 강화 학습 기술을 초보자의 시선으로 알기 쉽게 기초에서 고급 수준까지 다루었습니다.",무료
인공지능을 활용한 이상거래 검출 기법,"현대 비즈니스 세계에서 데이터 보안과 사기 방지는 어느 때보다 중요해졌습니다. 이 강의는 인공지능(AI)을 활용하여 이상거래를 효과적으로 감지하고 분석하는 방법에 대해 집중적으로 다룹니다. 파이썬(Python)과 머신러닝을 활용하여 이상거래, 신용카드 사기, 생산 라인의 이상 등 다양한 산업 분야에서 발생하는 이상치를 조기에 탐지, 검출할 수 있도록 하는 인공지능 모델을 구축해 봅니다.","₩77,000"
뿌리 깊은 딥러닝,딥러닝 라이브러리 없이 바닥부터 알고리즘들을 구현하며 원리를 제대로 파헤쳐 봅시다 :),무료
Python Streamlit을 활용한 대시보드 만들기 (feat. 빅데이터 분석기사 실기 준비),"Python 초보자의 눈높이에 맞춰 가장 쉽고 가장 실용적인 과정으로 기획된 입문 강의로 Streamlit을 활용한 직관적인 대시보드, 배포를 위한 Google Cloud Platform 등을 배웁니다. 또한, 빅데이터 분석기사 실기 준비도 같이 할 수 있습니다.",무료
두근두근 인공지능 - 개념편 -,"인공지능이 가져올 미래에 두근두근 하신가요?
AI! AI! AI! 인공지능의 세상이 다가오고 있습니다.
인공지능이 바꿀 우리의 미래가 기대되시나요? 두려우신가요?
인공지능을 제대로 학습하고 인공지능을 맞이해 봅시다!",무료
[AI 기초] AI Research Engineer를 위한 CNN 이해하기,CNN을 공부 했는데도 잘 모르시겠다구요? CNN의 기본 동작 원리를 핵심 부분만 간결하게 알려 드리겠습니다.,무료
인공지능은 어떻게 학습할까? - 재미로 배우는 AI 원리,"인공지능이라는 막연한 두려움에서 벗어날 수 있는 일반인을 위한 교양 강의입니다. 인공지능이 학습한다는 것이 대체 무슨 의미인지 구체적인 예시를 통해 알아봅니다. 또한 인공지능의 뇌 구조는 어떻게 생겼는지, 어떻게 사고하는지를 구체적이 예시로 알아봅니다.",무료
파이썬 기초 라이브러리부터 쌓아가는 머신러닝,머신러닝을 처음 접하시는 분들에게 공부 방향성과 기초 개념을 확실히 잡아드립니다.,무료
게임기획자를 위한 강화학습 : AI 마리오 에이전트 키우기,"강화학습 기본 개념부터 실전 프로젝트까지 한 번에 배우세요!
직접 슈퍼마리오 게임의 AI 에이전트를 만들며 강화학습을 경험해보세요",무료
CUDA 프로그래밍 (5) - C/C++/GPU 병렬 컴퓨팅 - 아토믹 연산 atomic op,"✅ 전체 (1) ~ (6)의 시리즈 중, (5) 아토믹 연산(atomic op)으로 최적화 ✅ NVIDIA GPU + CUDA 프로그래밍을 기초부터 차근차근 설명합니다. ✅ C++/C 언어로 배열/행렬/이미지처리/통계처리/정렬 등을 병렬 컴퓨팅으로 매우 빠르게 처리합니다.",무료
CUDA 프로그래밍 (2) - C/C++/GPU 병렬 컴퓨팅 - 벡터 vector 더하기,"✅ 전체 (1) ~ (6)의 시리즈 중, (2) 벡터(1D 배열) 병렬로 동시에 더하기 ✅ NVIDIA GPU + CUDA 프로그래밍을 기초부터 차근차근 설명합니다. ✅ C++/C 언어로 배열/행렬/이미지처리/통계처리/정렬 등을 병렬 컴퓨팅으로 매우 빠르게 처리합니다.",무료
CUDA 프로그래밍 (0) - C/C++/GPU 병렬 컴퓨팅 - 공개 샘플 강의,"✅ 전체 (1) ~ (6)의 시리즈 강의를 소개하는 (0) 인트로 강의 입니다.
✅ NVIDIA GPU + CUDA 프로그래밍을 기초부터 차근차근 설명합니다. 
✅ C++/C 언어로 배열/행렬/이미지처리/통계처리/정렬 등을 병렬 컴퓨팅으로 매우 빠르게 처리합니다.",무료
대학원 안가고 딥러닝 공부할래요 - Basis for deep learning,딥러닝의 근간이 되는 이론들의 컨셉을 정확하게 직관화할 수 있게 도와드립니다.,무료
AI 리터러시의 이해,"인공지능과 AI 윤리를 이해 및 학습하고, 자신의 전공 분야와 접목하여 인공지능 디지털 역량을 강화해보자!",무료
"머신러닝, 딥러닝 입문 : 알고리즘 이해하기","머신러닝의 주요 알고리즘과 딥러닝을 이해하고, 인공지능을 알아가보자!",무료
두근두근 인공지능 - 실습편 -,"인공지능, 나도 한 번 만들어보고 싶지 않나요?
자율주행차, 챗봇, AI스피커등 우리 현실 속 많은 인공지능 제품들이
어떤 원리로 작동하고, 어떻게 만들 수 있는지 궁금하지 않으셨나요?
노코드와 로우코드로 따라하다보면 쉽게 인공지능을 만들어 볼 수 있습니다.",무료
U-Net 구현으로 배우는 딥러닝 논문 구현 with TensorFlow 2.0 - 딥러닝 의료영상 분석,U-Net 논문을 TensorFlow 2.0을 이용해서 밑바닥부터 구현해보며 딥러닝 논문 구현 능력을 배울 수 있는 강의입니다.,무료
쏙쏙 이해되는 강화학습 핵심이론,이 강의를 통해 강화학습의 기본 이론을 익히실 수 있습니다.,무료
머신러닝 엔지니어 실무,"이 강의를 통해 머신러닝 프로젝트에서 겪게될 수 많은 시행착오를 줄일 수 있게 됩니다.
뤼이드의 머신러닝 파이프라인을 총책임지고 있는 제가 기본부터 잘 가르쳐드립니다.",무료
TensorFlow 2.0으로 배우는 딥러닝 입문,딥러닝 핵심이론과 최신 TensorFlow 2.0을 이용한 딥러닝 코드 구현을 한번에 배울 수 있는 강의입니다.,무료
자바 머신러닝 weka(웨카) 중급,자바 머신러닝 저변화를 위한 2번째 강좌 입니다. 설계/코딩 모두 구현가능 하도록 UI와 API 를 제공하는 Weka(웨카)를 소개합니다. 실무에 적용해도 전혀 손색이 없는 사례를 강의로 녹여냈습니다.,무료
인공신경망 딥러닝과 CNN,인공신경망 알고리즘을 이용해서 딥러닝 모델 및 CNN 모델을 만드는 방법을 소개합니다.,무료
딥러닝 입문,딥러닝이란 무엇인가? 딥러닝의 개념을 완벽히 정리하여 실제로 활용해보는 딥러닝과 인사하기 과정!,무료
비전공자를 위한 수학 통계 기초(이론),본 과정은 파이썬을 이용한 머신러닝 수학 및 통계의 기본 내용을 실습하는 과정입니다. 기계 학습과 딥러닝은 프로그래밍 역량도 필요하지만 원리를 파악히기 위해서 수학적 배경을 필요로 합니다. 본 과정을 통해 인공지능에 필요한 기초 수학을 차근차근 익힐 수 있습니다!,무료
CUDA 프로그래밍 (4) - C/C++/GPU 병렬 컴퓨팅 - 행렬 matrix 곱하기,"✅ 전체 (1) ~ (6)의 시리즈 중, (4) 행렬(2D 배열) 병렬로 동시에 곱하기 ✅ NVIDIA GPU + CUDA 프로그래밍을 기초부터 차근차근 설명합니다. ✅ C++/C 언어로 배열/행렬/이미지처리/통계처리/정렬 등을 병렬 컴퓨팅으로 매우 빠르게 처리합니다.",무료
30분 요약 강좌 시즌3 : 초급자를 위한 손에 잡히는 딥러닝!,"인공지능, 머신러닝, 딥러닝, 데이터 분석을 전혀 모르시는데 한 번 경험해보시길 원하시는 분들을 위한 강의입니다. 전체적인 프로세스를 설명해드려요.",무료
딥러닝 실무 프로젝트,피자와 스파게티 사진을 분류해보고 싶어! 딥러닝 알고리즘 종류 중 하나인 CNN을 활용하여 이미지를 분류해보는 실무 프로젝트를 A부터 Z까지 따라해보는 딥러닝 실전 프로젝트 과정입니다.,무료
"DNN, CNN, RNN을 활용한 딥러닝 실무","DNN, CNN, RNN?
어려워보이는 전문 용어도 본 강의를 통해 딥러닝의 핵심 알고리즘을 완벽히 정리하여 실제로 활용해보는 딥러닝 실습 과정!",무료
머신러닝 기초부터 탄탄히 정복하기,"이론과 실전은 다릅니다. 머신러닝의 기본 개념을 파악하고, 꼭 알아야 할 여러 모델들의 핵심 개념과 이론을 소개합니다. 그리고, 다양한 데이터를 다루어 보면서 실전에 도움되는 여러 기법들과 노하우를 공유합니다.",무료
파이썬 머신러닝,"복잡한 분석과 예측을 효율적으로 진행하는 머신러닝에 대해 이해하고 실습하는 과정!
어렵고 복잡할 것만 같았던 머신러닝도 마소캠퍼스의 <파이썬 머신러닝>과 함께라면 쉽고 재미있게 핵심을 깨우치실 수 있습니다.",무료
[PyTorch] 쉽고 빠르게 배우는 GAN,GAN(Generative Adversarial Networks)에 대하여 쉽고 정확하게 배워봅니다.,무료
R로 쉽게 배우는 강화학습,"Q-learning부터 Deep Q-learning에 대해 배우고, 강화학습을 R로 구현해 보는 시간을 가집니다. Deep Q-network을 넘어서 Self-imitation learning과 Random Netowrk Distillation 까지 전체적인 강화학습 내용을 다룹니다.",무료
핸즈온 머신러닝 2,아마존 베스트 셀러인 <핸즈온 머신러닝 2판>의 내용을 다룬 강의입니다. 대표적인 머신러닝 라이브러인 사이킷런을 사용하여 다양한 머신러닝 알고리즘과 평가 방법을 배웁니다. 또 가장 유명한 딥러닝 라이브러인 텐서플로와 케라스를 사용하여 인공 신경망부터 강화학습까지 이론과 실무를 다져 봅니다. 아직 모두 완료된 강의가 아닙니다. 매주 1~2개의 강의가 계속 추가될 예정입니다.,무료
엑셀로 맛보는 딥러닝 -CNN,"엑셀로 딥러닝 기초를 구현하며 그 의미를 깊게 이해하기!
이미지 데이터를 어떻게 처리하는지 학습!",무료
엑셀로 만드는 딥러닝 프레임워크,"엑셀로 딥러닝 프레임워크를 직접 구현해보자!
구현한 프레임워크로 지도학습/ 비지도학습/강화학습을 풀어보자!","₩22,000"
[10월 정기 교육 세션 다시보기] LLM(거대 언어 모델)과 데이터 분석의 자동화,코딩이 필요 없는 무료 데이터 시각화 툴 'HEARTCOUNT(하트카운트)'의 활용법을 다루는 열 번째 웨비나의 다시보기 영상입니다. 데이터 학습이나 툴을 익히는 데 드는 시간을 이제 데이터에서 업무에 필요한 정보를 찾는 데 사용하세요.,무료
데이터 마이닝,대용량 데이터에서 유용한 정보를 추출하고 의사 결정을 지원하는 역량을 키워보자!,무료
TensorFlow로 배우는 심층 강화학습 입문 - Deep Reinforcement Learning,"심층 강화학습(Deep Reinforcement Learning)에 대한 필수 이론 학습을 통해 강화학습 기초 개념을 탄탄히 다지고, TensorFlow를 이용한 실제 코드 구현 실습을 통해 심층 강화학습의 원리를 자세히 학습할 수 있는 강의입니다.",무료
모두를 위한 딥러닝 - Deep Reinforcement Learning,"홍콩과기대 김성훈 교수님의 ""모두를 위한 딥러닝"" 강좌 두번째 시즌으로 '강화학습' 에 대해 학습해 봅니다.",무료
자바스크립트 머신러닝 TensorFlow.js,"자바스크립트 환경에서 머신러닝 개념을 다룹니다.
자바스크립트와 TensorFlow.js로 머신러닝을 구현하는 형태와 코드를 다룹니다.",무료
혼자 공부하는 머신러닝+딥러닝,"한빛미디어 혼공시리즈로 1:1 과외하듯이 배우는 초절정 머신러닝, 딥러닝 자습서, 수백 개의 손그림으로 이해하고 구글 코랩(Colab)을 통해 브라우저만 있으면 바로 실습 가능",무료
Do It! 딥러닝 입문,"이 강의는 개념 한 걸음, 수식 한 걸음 그리고 코딩 한 걸음. 가장 적당한 보폭과 올곧은 방향으로 독자를 딥러닝으로 안내한다. 또한 그래프, 삽화, 도해는 100개가 넘어 추상적인 개념도 쉽고 빠르게 받아들일 수 있다. 프로그램 설치 없이 웹 브라우저에 접속하기만 하면 실습을 바로 시작할 수 있다는 점도 이 강의만의 특징이다.

편안하게 이론을 이해한 다음 직접 코딩하며 눈으로 딥러닝 대표 문제 4가지를 정복하니 딥러닝의 교과서로 부족함이 없다. 꼭 짚고 넘어가야 할 개념이나 용어는 본문 중간에 나오는 ‘잠깐! 다음으로 넘어가려면’ 코너와 장 마지막에‘기억 카드’ 코너로 2번 복습하여 학습 효과를 높였다. 『Do it! 딥러닝 입문』과 함께 딥러닝을 빠르게 정면 돌파해 보자.",무료
엑셀로 맛보는 딥러닝,엑셀로 딥러닝의 원리를 눈으로 보면서 익혀보겠습니다.,무료
진짜 왕초보를 위한 딥러닝,"이 강의는 딥러닝이란 명칭은 들어는 보았으나, 어떻게 시작해야 할 지 모르는 분들을 대상으로 진행됩니다 : )",무료
장박사의 빅데이터와 인공지능 입문,"어려운 용어설명, 어려운 수학공식 없는 인공지능 강의! 인공지능 이론을 소스코드로 이해할 수 있게 도와드립니다.",무료
"머신러닝, 딥러닝 기초 with Python, Keras",Keras를 활용해보며 머신러닝과 딥러닝에 대한 모델 알고리즘을 이해해보자!,무료
"AI에게 좋은 답을 얻으려면, AI처럼 생각하라! 컴퓨팅 사고력","컴퓨터의 과학적인 사고 방식을 활용한 컴퓨팅 사고력을 배워보자! 
직장 내 업무나 실생활에서 컴퓨팅 사고력에 기반한 활용 방안을 구상해 보아요!",무료
